r0_1,r2_1,r6_1,x_1,y_1,totalR_1,r0_2,r2_2,r6_2,x_2,y_2,totalR_2,centre_x,centre_y,totalM
Infinity,0.61572313,Infinity,1,21,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
Infinity,0.62016267,Infinity,1,21,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
Infinity,0.62897104,Infinity,1,21,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
0.38017038,0.6245494,Infinity,1.99,17.04,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
0.42922115,0.66193026,Infinity,1.95,17.22,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
0.47342637,0.6957971,Infinity,1.92,17.34,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
0.5390924,0.7202361,Infinity,1.83,17.69,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
0.5706405,0.7559218,Infinity,1.84,17.64,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
0.6109797,0.78624755,Infinity,1.83,17.69,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
0.663776,0.87006724,Infinity,1.89,17.42,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
0.7101698,0.94593376,Infinity,1.95,17.19,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
0.75242823,1.0132403,Infinity,2,17.01,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
0.81268215,1.0745002,Infinity,2,16.99,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
0.83617496,1.1302066,Infinity,2.05,16.79,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
0.8854188,1.1946394,Infinity,2.08,16.69,Infinity,Infinity,Infinity,0.376804,-2,24,Infinity,NaN,NaN,Infinity
0.9518749,1.2578295,Infinity,2.08,16.69,Infinity,Infinity,Infinity,0.41094306,-2,24,Infinity,NaN,NaN,Infinity
1.0376948,1.3053737,Infinity,2.04,16.84,Infinity,Infinity,Infinity,0.4531741,-2,24,Infinity,NaN,NaN,Infinity
1.1014878,1.3355579,Infinity,2.01,16.96,Infinity,Infinity,Infinity,0.47259507,-2,24,Infinity,NaN,NaN,Infinity
1.1703385,1.3590105,Infinity,1.97,17.12,Infinity,Infinity,Infinity,0.5011498,-2,24,Infinity,NaN,NaN,Infinity
1.2211792,1.3764961,Infinity,1.94,17.22,Infinity,Infinity,Infinity,0.52570677,-2,24,Infinity,NaN,NaN,Infinity
1.2757117,1.3895798,Infinity,1.91,17.35,Infinity,Infinity,Infinity,0.55570865,-2,24,Infinity,NaN,NaN,Infinity
1.3061092,1.4004303,Infinity,1.9,17.4,Infinity,Infinity,Infinity,0.57323515,-2,24,Infinity,NaN,NaN,Infinity
1.3152332,1.417393,Infinity,1.91,17.37,Infinity,Infinity,Infinity,0.58639467,-2,24,Infinity,NaN,NaN,Infinity
1.3341163,1.4262037,Infinity,1.9,17.38,Infinity,Infinity,Infinity,0.6113284,-2,24,Infinity,NaN,NaN,Infinity
1.3389755,1.4322064,Infinity,1.91,17.38,Infinity,Infinity,Infinity,0.637221,-2,24,Infinity,NaN,NaN,Infinity
1.3539034,1.441412,Infinity,1.9,17.39,Infinity,Infinity,Infinity,0.65085775,-2,24,Infinity,NaN,NaN,Infinity
1.3438923,1.4476885,Infinity,1.92,17.33,Infinity,Infinity,Infinity,0.6719444,-2,24,Infinity,NaN,NaN,Infinity
1.3341163,1.4540806,Infinity,1.93,17.28,Infinity,Infinity,Infinity,0.67953956,-2,24,Infinity,NaN,NaN,Infinity
1.3245662,1.4605922,Infinity,1.95,17.22,Infinity,Infinity,Infinity,0.67748404,-2,24,Infinity,NaN,NaN,Infinity
1.3106456,1.4672272,Infinity,1.97,17.14,Infinity,Infinity,Infinity,0.6816175,-2,24,Infinity,NaN,NaN,Infinity
1.2841631,1.4605922,Infinity,1.98,17.07,Infinity,Infinity,Infinity,0.6962671,-2,24,Infinity,NaN,NaN,Infinity
1.2799149,1.4573212,Infinity,1.98,17.06,Infinity,Infinity,Infinity,0.69458336,-2,24,Infinity,NaN,NaN,Infinity
1.2841631,1.4573212,Infinity,1.98,17.09,Infinity,Infinity,Infinity,0.68907416,-2,24,Infinity,NaN,NaN,Infinity
1.2841631,1.4843832,Infinity,2.01,16.97,Infinity,Infinity,Infinity,0.68319106,-2,24,Infinity,NaN,NaN,Infinity
1.2884572,1.4540806,Infinity,1.97,17.13,Infinity,Infinity,Infinity,0.675957,-2,24,Infinity,NaN,NaN,Infinity
1.3016231,1.4508699,Infinity,1.96,17.17,Infinity,Infinity,Infinity,0.66464484,-2,24,Infinity,NaN,NaN,Infinity
1.3198732,1.4540806,Infinity,1.95,17.22,Infinity,Infinity,Infinity,0.65085775,-2,24,Infinity,NaN,NaN,Infinity
1.3389755,1.4573212,Infinity,1.93,17.28,Infinity,Infinity,Infinity,0.6430601,-2,24,Infinity,NaN,NaN,Infinity
1.359,1.4573212,Infinity,1.92,17.33,Infinity,Infinity,Infinity,0.64519244,-2,24,Infinity,NaN,NaN,Infinity
1.3746699,1.4605922,Infinity,1.91,17.37,Infinity,Infinity,Infinity,0.6351811,-2,24,Infinity,NaN,NaN,Infinity
1.4254327,1.4573212,Infinity,1.86,17.54,Infinity,Infinity,Infinity,0.6351811,-2,24,Infinity,NaN,NaN,Infinity
1.4078447,1.4705924,Infinity,1.89,17.45,Infinity,Infinity,Infinity,0.65085775,-2,24,Infinity,NaN,NaN,Infinity
1.4194914,1.4705924,Infinity,1.88,17.47,Infinity,Infinity,Infinity,0.6351811,-2,24,Infinity,NaN,NaN,Infinity
1.4254327,1.4672272,Infinity,1.87,17.5,Infinity,Infinity,Infinity,0.64137226,-2,24,Infinity,NaN,NaN,Infinity
1.4254327,1.4672272,Infinity,1.87,17.51,Infinity,Infinity,Infinity,0.6473505,-2,24,Infinity,NaN,NaN,Infinity
1.4314551,1.4705924,Infinity,1.87,17.51,Infinity,Infinity,Infinity,0.65085775,-2,24,Infinity,NaN,NaN,Infinity
1.4375603,1.47399,Infinity,1.87,17.5,Infinity,Infinity,Infinity,0.6530847,-2,24,Infinity,NaN,NaN,Infinity
1.4375603,1.47399,Infinity,1.87,17.5,Infinity,Infinity,Infinity,0.65854293,-2,24,Infinity,NaN,NaN,Infinity
1.4314551,1.4705924,Infinity,1.87,17.51,Infinity,Infinity,Infinity,0.67393994,-2,24,Infinity,NaN,NaN,Infinity
1.4437503,1.47399,Infinity,1.87,17.53,Infinity,Infinity,Infinity,0.68319106,-2,24,Infinity,NaN,NaN,Infinity
1.4437503,1.47399,Infinity,1.87,17.53,Infinity,Infinity,Infinity,0.6979657,-2,24,Infinity,NaN,NaN,Infinity
1.4500272,1.4705924,Infinity,1.86,17.56,Infinity,Infinity,Infinity,0.6962671,-2,24,Infinity,NaN,NaN,Infinity
1.4500272,1.4774206,Infinity,1.86,17.55,Infinity,Infinity,Infinity,0.71831805,-2,24,Infinity,NaN,NaN,Infinity
1.4500272,1.4774206,Infinity,1.86,17.55,Infinity,Infinity,Infinity,0.7286651,-2,24,Infinity,NaN,NaN,Infinity
1.456393,1.4879164,Infinity,1.87,17.52,Infinity,Infinity,Infinity,0.7395671,-2,24,Infinity,NaN,NaN,Infinity
1.4694,1.4950894,Infinity,1.87,17.52,Infinity,Infinity,Infinity,0.76247424,-2,24,Infinity,NaN,NaN,Infinity
1.4827895,1.4950894,Infinity,1.86,17.56,Infinity,Infinity,Infinity,0.77617425,-2,24,Infinity,NaN,NaN,Infinity
1.4896338,1.4987305,Infinity,1.86,17.55,Infinity,Infinity,Infinity,0.78639555,-2,24,Infinity,NaN,NaN,Infinity
1.4965811,1.502409,Infinity,1.86,17.57,Infinity,Infinity,Infinity,0.8008083,-2,24,Infinity,NaN,NaN,Infinity
1.556207,1.5061255,Infinity,1.82,17.72,Infinity,Infinity,Infinity,0.80551076,-2,24,Infinity,NaN,NaN,Infinity
1.5254546,1.5098805,Infinity,1.84,17.63,Infinity,Infinity,Infinity,0.8172136,-2,24,Infinity,NaN,NaN,Infinity
1.5483315,1.5175097,Infinity,1.84,17.65,Infinity,Infinity,Infinity,0.82954973,-2,24,Infinity,NaN,NaN,Infinity
1.5483315,1.5175097,Infinity,1.83,17.66,Infinity,Infinity,Infinity,0.83597404,-2,24,Infinity,NaN,NaN,Infinity
1.5642132,1.529262,Infinity,1.84,17.65,Infinity,Infinity,Infinity,0.8493777,-2,24,Infinity,NaN,NaN,Infinity
