r0_1,r2_1,r6_1,x_1,y_1,totalR_1,r0_2,r2_2,r6_2,x_2,y_2,totalR_2,centre_x,centre_y,totalM
4.849434,Infinity,0.79240453,-1.95,23.89,Infinity,0.93634534,0.51796323,Infinity,1.33,19.68,Infinity,0,0,Infinity
4.5672274,Infinity,0.8246702,-1.94,23.87,Infinity,0.97389895,0.6109391,Infinity,1.44,19.23,Infinity,NaN,NaN,Infinity
4.5672274,0.63749874,0.88127935,0.39,21.59,6.0860057,1.0037682,0.67064476,Infinity,1.51,18.97,Infinity,NaN,NaN,Infinity
4.3319674,0.7400413,0.9304374,0.23,21.74,6.002446,1.0341685,0.71850526,Infinity,1.55,18.81,Infinity,NaN,NaN,Infinity
4.3319674,0.8006508,1.0010407,0.23,21.73,6.1336584,1.0646552,0.75966537,Infinity,1.58,18.68,Infinity,NaN,NaN,Infinity
4.3319674,0.8468505,1.0376692,0.2,21.75,6.216487,1.0991951,0.7855323,Infinity,1.58,18.69,Infinity,NaN,NaN,Infinity
4.3319674,0.8849483,1.070784,0.18,21.76,6.2876997,1.1258239,0.8152496,Infinity,1.59,18.63,Infinity,NaN,NaN,Infinity
4.1318073,0.9299044,1.0991672,0.14,21.79,6.160879,1.1415193,0.84898025,Infinity,1.62,18.5,Infinity,NaN,NaN,Infinity
4.3319674,0.96609145,1.1189983,0.1,21.83,6.417057,1.163921,0.8701775,Infinity,1.63,18.48,Infinity,NaN,NaN,Infinity
4.3319674,0.95523196,1.1388494,0.16,21.77,6.4260488,1.1758232,0.88327265,Infinity,1.64,18.46,Infinity,NaN,NaN,Infinity
4.3319674,0.98120254,1.1551852,0.14,21.79,6.468355,1.1882404,0.8983768,Infinity,1.64,18.43,Infinity,NaN,NaN,Infinity
4.3319674,1.0007179,1.1501802,0.09,21.83,6.482866,1.1979153,0.90819496,Infinity,1.65,18.42,Infinity,NaN,NaN,Infinity
4.3319674,1.0089934,1.1568741,0.09,21.83,6.4978347,1.2147857,0.9250946,Infinity,1.65,18.4,Infinity,NaN,NaN,Infinity
