r0_1,r2_1,r6_1,x_1,y_1,totalR_1,r0_2,r2_2,r6_2,x_2,y_2,totalR_2,centre_x,centre_y,totalM
Infinity,0.5923545,Infinity,1,21,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
Infinity,0.59714264,Infinity,1,21,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
Infinity,0.62897104,Infinity,1,21,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
Infinity,0.6540414,Infinity,1,21,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
Infinity,0.6811493,Infinity,1,21,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
Infinity,0.70654315,Infinity,1,21,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
Infinity,0.72706723,0.541819,-0.97,22.97,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
Infinity,0.74334157,0.665349,-0.54,22.54,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
Infinity,0.7920316,0.7281537,-0.47,22.47,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
Infinity,0.8119283,0.79654205,-0.32,22.32,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
Infinity,0.8337766,0.8556562,-0.21,22.21,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
Infinity,0.85232633,0.9098908,-0.12,22.12,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
Infinity,0.8597435,0.9486757,-0.04,22.04,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
Infinity,0.8597435,0.9902762,0.05,21.95,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
Infinity,0.88252765,1.0231471,0.06,21.94,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
Infinity,0.8923805,1.0542469,0.1,21.9,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
Infinity,0.9067139,1.0858748,0.13,21.87,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
Infinity,0.93241346,1.1131775,0.13,21.87,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
Infinity,0.94168663,1.1341355,0.15,21.85,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
Infinity,0.97262,1.1485322,0.11,21.89,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
Infinity,0.9856144,1.1602836,0.1,21.9,Infinity,Infinity,0.4185483,Infinity,1,21,Infinity,NaN,NaN,Infinity
Infinity,0.9920636,1.191103,0.14,21.86,Infinity,Infinity,0.4326646,Infinity,1,21,Infinity,NaN,NaN,Infinity
Infinity,1.0068978,1.2130165,0.15,21.85,Infinity,Infinity,0.47091427,Infinity,1,21,Infinity,NaN,NaN,Infinity
Infinity,1.027956,1.2345071,0.14,21.86,Infinity,Infinity,0.48549598,Infinity,1,21,Infinity,NaN,NaN,Infinity
