r0_1,r2_1,r6_1,x_1,y_1,totalR_1,r0_2,r2_2,r6_2,x_2,y_2,totalR_2,centre_x,centre_y,totalM
Infinity,Infinity,Infinity,0,0,Infinity,Infinity,Infinity,0.4531741,-2,24,Infinity,NaN,NaN,Infinity
Infinity,Infinity,Infinity,0,0,Infinity,Infinity,Infinity,0.5374899,-2,24,Infinity,NaN,NaN,Infinity
Infinity,Infinity,Infinity,0,0,Infinity,Infinity,Infinity,0.5839758,-2,24,Infinity,NaN,NaN,Infinity
Infinity,Infinity,Infinity,0,0,Infinity,Infinity,Infinity,0.6113284,-2,24,Infinity,NaN,NaN,Infinity
Infinity,Infinity,Infinity,0,0,Infinity,Infinity,Infinity,0.60103786,-2,24,Infinity,NaN,NaN,Infinity
Infinity,Infinity,Infinity,0,0,Infinity,Infinity,Infinity,0.60921973,-2,24,Infinity,NaN,NaN,Infinity
Infinity,Infinity,Infinity,0,0,Infinity,Infinity,Infinity,0.62341404,-2,24,Infinity,NaN,NaN,Infinity
Infinity,Infinity,Infinity,0,0,Infinity,Infinity,Infinity,0.66464484,-2,24,Infinity,NaN,NaN,Infinity
Infinity,Infinity,Infinity,0,0,Infinity,Infinity,Infinity,0.70907974,-2,24,Infinity,NaN,NaN,Infinity
Infinity,Infinity,Infinity,0,0,Infinity,Infinity,Infinity,0.7374784,-2,24,Infinity,NaN,NaN,Infinity
Infinity,Infinity,Infinity,0,0,Infinity,Infinity,Infinity,0.781225,-2,24,Infinity,NaN,NaN,Infinity
Infinity,Infinity,Infinity,0,0,Infinity,Infinity,Infinity,0.82954973,-2,24,Infinity,NaN,NaN,Infinity
Infinity,Infinity,Infinity,0,0,Infinity,Infinity,Infinity,0.8839296,-2,24,Infinity,NaN,NaN,Infinity
Infinity,Infinity,Infinity,0,0,Infinity,Infinity,Infinity,0.9485513,-2,24,Infinity,NaN,NaN,Infinity
Infinity,Infinity,Infinity,0,0,Infinity,Infinity,Infinity,0.9991149,-2,24,Infinity,NaN,NaN,Infinity
Infinity,Infinity,Infinity,0,0,Infinity,Infinity,Infinity,1.0484136,-2,24,Infinity,NaN,NaN,Infinity
Infinity,Infinity,Infinity,0,0,Infinity,Infinity,Infinity,1.0766044,-2,24,Infinity,NaN,NaN,Infinity
Infinity,Infinity,Infinity,0,0,Infinity,Infinity,Infinity,1.0989114,-2,24,Infinity,NaN,NaN,Infinity
Infinity,Infinity,Infinity,0,0,Infinity,Infinity,Infinity,1.1198579,-2,24,Infinity,NaN,NaN,Infinity
Infinity,Infinity,Infinity,0,0,Infinity,Infinity,Infinity,1.1357306,-2,24,Infinity,NaN,NaN,Infinity
Infinity,Infinity,Infinity,0,0,Infinity,Infinity,Infinity,1.1423098,-2,24,Infinity,NaN,NaN,Infinity
Infinity,Infinity,Infinity,0,0,Infinity,Infinity,Infinity,1.1629002,-2,24,Infinity,NaN,NaN,Infinity
Infinity,Infinity,Infinity,0,0,Infinity,Infinity,Infinity,1.1558894,-2,24,Infinity,NaN,NaN,Infinity
Infinity,Infinity,Infinity,0,0,Infinity,Infinity,Infinity,1.1558894,-2,24,Infinity,NaN,NaN,Infinity
Infinity,Infinity,Infinity,0,0,Infinity,Infinity,Infinity,1.1524403,-2,24,Infinity,NaN,NaN,Infinity
Infinity,Infinity,Infinity,0,0,Infinity,Infinity,Infinity,1.1423098,-2,24,Infinity,NaN,NaN,Infinity
Infinity,Infinity,Infinity,0,0,Infinity,Infinity,Infinity,1.1324915,-2,24,Infinity,NaN,NaN,Infinity
Infinity,Infinity,Infinity,0,0,Infinity,Infinity,Infinity,1.1261113,-2,24,Infinity,NaN,NaN,Infinity
Infinity,Infinity,Infinity,0,0,Infinity,Infinity,Infinity,1.122969,-2,24,Infinity,NaN,NaN,Infinity
Infinity,Infinity,Infinity,0,0,Infinity,Infinity,Infinity,1.1198579,-2,24,Infinity,NaN,NaN,Infinity
Infinity,Infinity,Infinity,0,0,Infinity,Infinity,Infinity,1.1198579,-2,24,Infinity,NaN,NaN,Infinity
Infinity,Infinity,Infinity,0,0,Infinity,Infinity,Infinity,1.1167777,-2,24,Infinity,NaN,NaN,Infinity
Infinity,Infinity,Infinity,0,0,Infinity,Infinity,Infinity,1.1107068,-2,24,Infinity,NaN,NaN,Infinity
Infinity,Infinity,Infinity,0,0,Infinity,Infinity,Infinity,1.1167777,-2,24,Infinity,NaN,NaN,Infinity
Infinity,Infinity,Infinity,0,0,Infinity,Infinity,Infinity,1.1077155,-2,24,Infinity,NaN,NaN,Infinity
Infinity,Infinity,Infinity,0,0,Infinity,Infinity,Infinity,1.1077155,-2,24,Infinity,NaN,NaN,Infinity
Infinity,Infinity,Infinity,0,0,Infinity,Infinity,Infinity,1.0931793,-2,24,Infinity,NaN,NaN,Infinity
Infinity,Infinity,Infinity,0,0,Infinity,Infinity,Infinity,1.0820291,-2,24,Infinity,NaN,NaN,Infinity
Infinity,Infinity,Infinity,0,0,Infinity,Infinity,Infinity,1.0766044,-2,24,Infinity,NaN,NaN,Infinity
Infinity,0.5923545,Infinity,1,21,Infinity,Infinity,Infinity,1.0634574,-2,24,Infinity,NaN,NaN,Infinity
Infinity,0.62016267,Infinity,1,21,Infinity,Infinity,Infinity,1.0533433,-2,24,Infinity,NaN,NaN,Infinity
Infinity,0.6579953,Infinity,1,21,Infinity,Infinity,Infinity,1.071276,-2,24,Infinity,NaN,NaN,Infinity
Infinity,0.70293593,Infinity,1,21,Infinity,Infinity,Infinity,1.0533433,-2,24,Infinity,NaN,NaN,Infinity
Infinity,0.68852395,Infinity,1,21,Infinity,Infinity,Infinity,1.058357,-2,24,Infinity,NaN,NaN,Infinity
Infinity,0.70654315,Infinity,1,21,Infinity,Infinity,Infinity,1.0608962,-2,24,Infinity,NaN,NaN,Infinity
Infinity,0.7336199,0.5860456,-0.81,22.81,Infinity,Infinity,Infinity,1.0739282,-2,24,Infinity,NaN,NaN,Infinity
Infinity,0.7497245,0.6279817,-0.7,22.7,Infinity,Infinity,Infinity,1.0766044,-2,24,Infinity,NaN,NaN,Infinity
Infinity,0.75279653,0.65330184,-0.62,22.62,Infinity,Infinity,Infinity,1.0793045,-2,24,Infinity,NaN,NaN,Infinity
Infinity,0.76831347,0.6992933,-0.5,22.5,Infinity,Infinity,Infinity,1.0820291,-2,24,Infinity,NaN,NaN,Infinity
Infinity,0.8006508,0.7505074,-0.43,22.43,Infinity,Infinity,Infinity,1.0686468,-2,24,Infinity,NaN,NaN,Infinity
Infinity,0.8363242,0.79654205,-0.39,22.39,Infinity,Infinity,Infinity,1.058357,-2,24,Infinity,NaN,NaN,Infinity
Infinity,0.86484104,0.83934075,-0.34,22.34,Infinity,Infinity,Infinity,1.058357,-2,24,Infinity,NaN,NaN,Infinity
Infinity,0.8923805,0.84778565,-0.39,22.39,Infinity,Infinity,Infinity,1.0686468,-2,24,Infinity,NaN,NaN,Infinity
Infinity,0.92062,0.88343036,-0.36,22.36,Infinity,Infinity,Infinity,1.0903531,-2,24,Infinity,NaN,NaN,Infinity
Infinity,0.9349511,0.8911385,-0.38,22.38,Infinity,Infinity,Infinity,1.1047528,-2,24,Infinity,NaN,NaN,Infinity
Infinity,0.96376234,0.91928047,-0.38,22.38,Infinity,Infinity,Infinity,1.1167777,-2,24,Infinity,NaN,NaN,Infinity
Infinity,0.9837135,0.9393691,-0.37,22.37,Infinity,Infinity,Infinity,1.1324915,-2,24,Infinity,NaN,NaN,Infinity
