"Day","Ozone"
1,-19.59233786
2,-19.03861366
3,-20.21733786
4,-19.6756712
5,-19.21733786
6,-17.63400453
7,-15.37439797
8,-12.17052725
9,-20.09233786
10,-18.58028032
11,-5.712193917
12,-15.62886058
13,-17.04552725
14,-18.62886058
15,-18.71219392
16,-15.00386058
17,-17.37886058
18,-17.00386058
19,-7.63400453
20,-18.41361366
21,-16.9933238
22,-12.62886058
23,-7.925671197
24,-12.25900453
25,-15.79552725
26,-18.75900453
27,-19.83719392
28,-16.71733786
29,-20.06825452
30,-14.58719392
31,-15.24694699
32,-17.58028032
33,-19.95528032
34,-15.17052725
35,-13.83373712
36,-19.16707045
37,-18.82377335
38,-19.22957045
39,0.4995962132
40,-15.31290379
41,-16.50040379
42,-16.88652039
43,-17.47957045
44,-14.24225161
45,-13.50040379
46,3.6662628798
47,-0.250403787
48,0.4995962132
49,-0.267613932
50,-8.915258859
51,-16.20873712
52,-20.85457045
53,-13.79207045
54,-11.35457045
55,-11.54207045
56,-7.250403787
57,-8.354570453
58,-10.06290379
59,-17.41707045
60,-9.067070453
61,-3.625403787
62,-4.70873712
63,-18.85457045
64,-10.64623712
65,-15.19333857
66,1.1454295465
67,7.0204295465
68,5.3954295465
69,3.9370962132
70,-4.667070453
71,-3.979570453
72,-1.95873712
73,-6.479570453
74,12.457929547
75,11.934378822
76,3.3745962132
77,-4.128860583
78,7.2376914513
79,10.544719676
80,12.12805301
81,11.586386343
82,7.0162628798
83,1.1870962132
84,-9.562903787
85,-9.320479544
86,-7.812903787
87,-4.167070453
88,-3.465681565
89,5.9995962132
90,0.449328803
91,-1.775052323
92,-1.657578269
93,-7.357940167
94,2.8381232783
95,12.661232079
96,7.567289945
97,0.1132550648
98,-0.460698769
99,-8.336195947
100,-1.782132779
101,5.7270966795
102,1.582359668
103,-6.566438978
104,-10.23310564
105,-6.168531311
106,-2.710197978
107,-4.316438978
108,7.9564686886
109,8.9990263347
110,17.820460345
111,-3.1287735
112,-15.21210683
113,-12.92044017
114,4.3726345648
115,0.6340883982
116,8.008437566
117,12.041610017
118,-1.297101254
119,10.20725139
120,11.06766051
121,-5.585698769
122,1.0814686886
123,3.6628060835
124,6.0587264999
125,-1.595729101
126,8.1496355908
127,3.9124476768
128,-8.909594361
129,19.193018455
130,20.288690906
131,21.580357573
132,2.7984007197
133,4.5382197846
134,16.048183553
135,-0.689865435
136,9.1579531328
137,27.210508169
138,1.7864497076
139,1.4683070157
140,-6.730776346
141,8.6797110674
142,-10.50543459
143,-12.53415181
144,-3.661876722
145,-10.46069877
146,5.4922110674
147,7.0232689332
148,5.978843358
149,3.9414449124
150,-1.45159928
151,8.4488641713
152,10.158877734
153,-6.382788933
154,-0.845078269
155,-3.08584881
156,8.4651973564
157,20.988255065
158,26.152697356
159,24.978892394
160,8.3058361116
161,3.4825155826
162,3.3724736824
163,4.3909635113
164,14.890963511
165,21.5587265
166,8.2482398373
167,8.6509938435
168,26.549181522
169,38.570937566
170,23.411796845
171,25.296902101
172,8.9324096545
173,2.1824096545
174,6.4410352567
175,25.828463511
176,10.516614344
177,-1.963767921
178,-1.308555088
179,7.9496197995
180,4.5604300128
181,-4.554539655
182,10.049757096
183,13.593277815
184,19.967867221
185,10.3712265
186,-0.918085822
187,7.3598917402
188,10.78915119
189,8.6537936783
190,1.8464355695
191,0.1459300894
192,5.5020570333
193,5.5237488831
194,-13.1703598
195,-3.51409928
196,-0.220078269
197,9.3086162545
198,19.197780199
199,23.902567386
200,22.515134697
201,16.701669445
202,33.831914178
203,22.631864023
204,34.755235435
205,10.893763346
206,17.038500358
207,3.4613442262
208,-9.494376174
209,-6.131573335
210,0.8918834775
211,25.54899806
212,15.076759998
213,16.970930294
214,22.993426665
215,7.4990263347
216,-2.050068324
217,-1.692590345
218,4.8082810102
219,21.925645653
220,0.6416143435
221,4.1247047929
222,6.4914355622
223,8.9919993
224,11.509088398
225,11.91415119
226,-0.618004997
227,9.5472904923
228,8.5949095399
229,3.2695050648
230,-10.66952645
231,-5.363448168
232,6.3143795905
233,13.078136839
234,0.5085341802
235,-6.74146582
236,-12.19394685
237,-18.06058111
238,-15.30498514
239,-9.159932614
240,-1.787745502
241,-4.657919224
242,-1.427966112
243,-7.838472033
244,-5.80834697
245,-1.843747414
246,-3.448799445
247,7.9249724823
248,21.782092424
249,15.131864023
250,-1.282132779
251,0.7670598332
252,-6.047177611
253,1.1109007197
254,-1.745403018
255,-8.700818478
256,-11.92466737
257,-4.355585822
258,-8.395901202
259,-14.22995856
260,-10.37015094
261,-16.41382038
262,-11.63901201
263,-16.74070727
264,-18.67324
265,-16.46309507
266,-9.988555465
267,-6.750973665
268,-9.229958559
269,-1.625973665
270,3.0814686886
271,5.582359668
272,-10.73855547
273,-12.40040636
274,-7.786681966
275,-7.983812118
276,-8.035645221
277,-5.583104944
278,-9.334241307
279,-15.87080111
280,-11.53766432
281,-13.46416555
282,-12.23337413
283,-16.33797878
284,-9.069707849
285,-11.19262136
286,-8.38792379
287,-14.48491462
288,0.0527444858
289,3.0976778851
290,-15.28629884
291,-7.985547571
292,-7.653766376
293,-8.529145082
294,-17.26010696
295,-17.93021713
296,-15.48332352
297,-17.53166493
298,-13.39005841
299,-19.41637291
300,-13.83399678
301,-19.0731291
302,-15.65926103
303,-7.016590572
304,-12.37027171
305,-13.68456193
306,-12.01771332
307,7.2720001797
308,-7.116385483
309,-5.710478889
310,-16.48801612
311,-19.97389892
312,-2.200570232
313,0.5956942738
314,1.5387695978
315,-17.12772239
316,-16.5474236
317,-19.61838532
318,-14.4255982
319,-6.359815965
320,-8.458831533
321,-12.63399243
322,-16.12895217
323,-15.36256322
324,-1.201928563
325,-15.10925855
326,-14.67942797
327,-14.59282564
328,-17.60536661
329,-13.35055892
330,-2.882495731
331,-15.29801771
332,-19.79452953
333,-21.13324676
334,-20.14021907
335,-13.31928675
336,-16.15761002
337,-20.42253779
338,-14.5397013
339,-12.95353895
340,-11.83666624
341,-20.99802721
342,-21.32223133
343,-17.27880905
344,-19.46755394
345,-22.10172571
346,-15.84088668
347,-13.72628839
348,-13.72102282
349,-17.48117837
350,-14.96312447
351,-19.45638076
352,-22.63108022
353,-23.19567566
354,-14.98012371
355,-20.2612213
356,-24.54392954
357,-21.4156255
358,-22.35423074
359,-9.735146269
360,-6.270720989
361,-15.24236865
362,-6.70547299
363,-5.556665954
364,-20.75310897
365,-10.87220297
366,-4.920980937
367,-17.13834998
368,-16.1605841
369,-6.539574728
370,-11.78786267
371,-17.88557465
372,-23.09752237
373,-21.08659858
374,-17.71327331
375,-18.89266845
376,-19.10930219
377,-8.548085631
378,-11.48451418
379,-22.66732129
