Neighborhood,crime10,crime11,crime12,crime13,crime14,viol10,viol11,viol12,viol13,viol14,prop11,prop12,prop13,prop14,juvarr11,juvviol11,juvdrug11,domvio10,domvio11,domvio12,shoot11,shoot12,caslt11,caslt12,narc11,narc12,caracc11,caracc12,gunhom11,gunhom12,gunhom13,gunhom14,arrest14
Allendale/Irvington/S. Hilton,40.6,46.2,45.4,47.3,55.1,12.6,12.5,13.9,12.6,10.1,33.7,31.6,33.9,44.5,54.8,12.4,22.2,59.4,65.4,61,2.5,2.3,84.4,79.7,78.8,79.7,44,43,0.2,0.6,0.4,0.4,34.5
Beechfield/Ten Hills/West Hills,33.6,36.1,36.6,36,46.6,8.4,7.2,7,6.4,6.9,28.9,29.6,28.7,38.7,22,9.1,5.3,47.9,44.8,42.4,2,1.1,51.2,50.6,24.7,32.6,31.9,29.8,0.2,0.2,0,0.1,16.5
Belair-Edison,50.3,57.1,52.7,57.4,56.6,13.3,14.1,14.9,12.3,10.2,43,37.7,43.3,45.4,54.8,17.5,16.2,51.1,57.8,60.9,1.5,2.2,77.6,81.5,50.2,53.9,45.4,46.1,0.3,0.3,0.5,0.3,41.6
Brooklyn/Curtis Bay/Hawkins Point,81.7,79.1,62.1,61.3,54.9,25.3,21.3,15.2,16.1,14.1,57.8,46.9,43.7,40.1,83.3,16.8,30.8,68,74.1,63.5,2.9,2.1,158.5,144.6,101.1,85,39.9,39.6,0.3,0.2,0.1,0.2,94.1
Canton,61,64.8,57.9,56.4,46.5,8.3,7.7,6.7,6.9,6.3,57.2,51.2,49.1,39.5,81.5,14.8,7.4,34.3,39.6,35.8,0,0.1,46.2,44.3,4,3.7,32.8,34.6,0,0,0,,8.6
Cedonia/Frankford,43.7,48.4,46.7,52.2,52.3,12,11.3,12.1,11.8,12.8,37.1,34.6,39.5,38.8,46.5,9.5,10.7,60.2,70.2,66.7,0.8,0.8,10.7,61.6,22.8,24.2,26.5,24.8,0.3,0.3,0,0.4,21.7
Cherry Hill,60,64.7,59.1,50.6,53.5,22.6,22.2,19.6,16.2,15.5,42.6,39.5,33.2,37.1,61.6,13.8,29.4,62.9,71.1,78.6,6,5.2,110.2,125.1,97.4,94.6,25.2,21.6,0.5,0.4,0.4,0.1,77
Chinquapin Park/Belvedere,43.6,33.4,44.5,42.8,47.7,12.6,7.1,9,9.2,9,26.3,35.5,32.9,37.9,37.9,10.2,7.3,39.7,44.2,47.3,0.3,1.2,60.1,64,17.9,27.2,38.9,35.1,0,0.4,0.1,,13.4
Claremont/Armistead,52.6,63.2,49,50.1,46.3,13.2,12.6,8.9,7.9,9.8,50.5,40.1,41.7,36,18.7,7.7,3.3,60.4,68.8,67.4,0.9,1.5,10.9,67.8,19.9,25.4,60.1,64.4,0.1,0.1,0,,29.2
Clifton-Berea,57.9,61,56.4,57.1,55,23.3,23.5,20,15.4,16.8,37.5,36.5,40.2,36.8,144.9,33.2,63.7,49.7,63.5,61.8,7.3,3.9,121,130.5,201.9,264.8,47,45.8,0.6,0.8,0.6,0.6,131.9
Cross-Country/Cheswolde,15.4,15.3,14.7,17.5,14.6,1.8,1.2,1.2,1,0.5,14,13.5,16.1,14,13.8,1.4,0,22.6,19.4,20.6,0,,12.2,12.5,1.6,1,9.6,10.5,0,0,0,,1.4
Dickeyville/Franklintown,49.5,42.2,38,38,29.3,7.1,6.1,8.5,7.8,7.8,36.1,29.5,29.7,21.2,29.5,6.8,11.3,55.4,57.5,45.4,1,2.4,67.5,57.5,19.3,45.6,51,44.9,0,0.5,0,,28.6
Dorchester/Ashburton,52.4,50.7,48.7,55.1,56.4,15.4,16.4,13.5,14.5,12.6,34.3,35.2,38.8,42.8,56.3,11.8,14.3,51.6,49,52,2.3,1.9,82.7,84.3,82.8,101.7,45.8,37.1,0.3,0.3,0.1,0.6,28.3
Downtown/Seton Hill,424.4,417.4,331.4,292,243.3,97.9,94.1,64.8,67.8,58.8,323.3,266.5,220.9,180,1005.6,355.6,227.8,91.9,102.2,81.3,12,10.4,599.1,467.9,389.8,378.2,550.2,429.3,0.5,0.2,0.2,0.3,241.5
Edmondson Village,28.5,40.5,43.8,36.8,38.9,8.2,10.1,11.1,8.9,8.6,30.4,32.7,27.5,29.7,58.7,7.8,29.9,43.4,43.2,44.3,2,2,60.6,62.9,82.2,65.4,28.7,33.9,0.5,0.3,0.4,0.8,25.3
