time,ref_pelvis_ty,ref_pelvis_tilt,ref_hip_flexion_l,ref_knee_angle_l,ref_ankle_angle_l,tibia_angle_l,ankle_ty
0,1.04506422,0.08407972,-0.101150425,-0.12802613,0.094197304,0.145096835,0.000711687
0.017,1.04418473,0.083905157,-0.12713692,-0.110550019,0.098238263,0.153781782,0.000912607
0.033,1.04260688,0.082320739,-0.152276165,-0.092795331,0.102784601,0.162750756,0.000864534
0.05,1.04088889,0.084490085,-0.179901859,-0.078163078,0.10893768,0.173574853,0.001195802
0.067,1.0382929,0.082122909,-0.200548764,-0.067158622,0.116059024,0.185584478,0.001008314
0.083,1.03586969,0.080951265,-0.226239587,-0.051309324,0.121961323,0.196597646,0.001544073
0.1,1.03282511,0.078520782,-0.25099995,-0.036241816,0.12786532,0.208720984,0.002049032
0.117,1.0292762,0.07602341,-0.273420799,-0.025508339,0.135272071,0.222905728,0.002503584
0.133,1.02535838,0.073064537,-0.293297595,-0.019726296,0.145188214,0.239959354,0.003114804
0.15,1.02137934,0.071610275,-0.316025839,-0.012852224,0.153133395,0.257267788,0.004288985
0.167,1.01745382,0.070258198,-0.334890021,-0.013499934,0.164078476,0.278131758,0.005900363
0.183,1.01397722,0.067658074,-0.34458467,-0.028590702,0.179412308,0.305517298,0.008192447
0.2,1.01125686,0.067511084,-0.360872144,-0.039401297,0.189008734,0.332762357,0.012297224
0.217,1.0089247,0.065857882,-0.369608536,-0.061175129,0.201582636,0.364925783,0.017191416
0.233,1.00738023,0.0652048,-0.376160246,-0.088755748,0.210078242,0.399711193,0.023410577
0.25,1.00611505,0.063024342,-0.379185183,-0.120044805,0.215544409,0.436205646,0.030533244
0.267,1.00553052,0.060516028,-0.378143649,-0.158724504,0.215549771,0.476352125,0.03918099
0.283,1.00570519,0.061845579,-0.374674571,-0.209031681,0.210534462,0.521860674,0.049623118
0.3,1.00698559,0.066680631,-0.370083243,-0.26942772,0.196861436,0.572830332,0.062844481
0.317,1.00877575,0.071584916,-0.354879863,-0.346993811,0.174863672,0.630288758,7.80E-02
0.333,1.01032207,0.073354359,-0.319777117,-0.451104028,0.144273112,0.697526786,0.095443318
0.35,1.01226213,0.075032132,-0.277476763,-0.561110228,0.095814316,0.76355486,0.114510148
0.367,1.01402186,0.07371345,-0.222026636,-0.678748204,0.032604227,0.82706139,0.134236403
0.383,1.01579051,0.072594595,-0.162207157,-0.792184431,-0.035505271,0.881796993,0.153236795
0.4,1.01756723,0.072956732,-0.104326797,-0.895953199,-0.094587322,0.927323264,0.171306338
0.417,1.01996876,0.074429351,-0.051788548,-0.983022114,-0.129291612,0.960381311,0.187182693
0.433,1.02274006,0.07623386,-0.002781972,-1.055950384,-0.135958565,0.982498497,0.200542611
0.45,1.02585818,0.078305622,0.042610137,-1.114657564,-0.120063798,0.993741804,0.210903152
0.467,1.02920966,0.081549239,0.08323306,-1.157747074,-0.094023917,0.992964774,0.217276626
0.483,1.03243742,0.081800146,0.125975245,-1.187213607,-0.067366925,0.979438216,0.219047961
0.5,1.03561101,0.084736934,0.162058573,-1.202042211,-0.044072508,0.955246704,0.216821944
0.517,1.03829356,0.085327956,0.19862569,-1.202927698,-0.025342213,0.918974053,0.209886084
0.533,1.04078538,0.085896578,0.230759454,-1.18859386,-0.011214929,0.871937828,0.198920887
0.55,1.04210245,0.082891642,0.263719886,-1.162272754,-0.000245175,0.815661226,0.184113126
0.567,1.0429828,0.080075697,0.29427164,-1.124501332,0.008775478,0.750153995,0.166774155
0.583,1.04416396,0.083687349,0.310065261,-1.071551966,0.018541333,0.677799356,0.14779078
0.6,1.04456168,0.085160393,0.327142478,-1.008325176,0.024998155,0.596022305,0.127391541
0.617,1.04449532,0.086144374,0.339113081,-0.933959906,0.029207677,0.508702452,0.106882299
0.633,1.04396621,0.086479624,0.348176488,-0.850902023,0.028388201,0.416245911,0.087505283
0.65,1.04329653,0.088922794,0.350705371,-0.758847144,0.022130894,0.319218979,0.070250161
0.667,1.0415996,0.08673156,0.355395903,-0.662713311,0.012779872,0.220585848,0.055769064
0.683,1.03967831,0.085312526,0.354408912,-0.559600592,-0.000577222,0.119879154,0.04463177
0.7,1.03725673,0.082941714,0.354034621,-0.459449355,-0.012490222,0.02247302,0.038066434
0.717,1.03445774,0.079420356,0.352352304,-0.35786304,-0.023146721,-0.07390962,0.035350444
0.733,1.03138866,0.076901479,0.349681889,-0.263493344,-0.028437826,-0.163090024,0.036476976
0.75,1.0284737,0.077904342,0.340400359,-0.172985629,-0.030339604,-0.245319072,0.040209577
0.767,1.02518753,0.07727401,0.334008937,-0.099281642,-0.02653364,-0.312001305,0.044721659
0.783,1.02230076,0.079318709,0.326134157,-0.045142911,-0.019536971,-0.360309955,0.048687398
0.8,1.01926737,0.077443787,0.324774196,-0.01254992,-0.013220793,-0.389668062,0.050434616
0.817,1.01703781,0.079725602,0.325794989,-0.01012805,-0.007445867,-0.395392541,0.050014481
0.833,1.01517726,0.081099363,0.328639527,-0.027676068,-0.007416713,-0.382062822,0.046484929
0.85,1.01374181,0.079951175,0.33336927,-0.060421912,-0.013850368,-0.352898533,0.040495334
0.867,1.01239224,0.077397374,0.343133273,-0.105425116,-0.027223921,-0.315105531,0.034418893
0.883,1.01141057,0.07356708,0.353069256,-0.150330871,-0.046636998,-0.276305465,0.029040185
0.9,1.01119859,0.071647683,0.359068466,-0.196546815,-0.061432899,-0.234169334,0.024333977
0.917,1.01182485,0.073761353,0.357838977,-0.239128514,-0.070442242,-0.192471815,0.020673792
0.933,1.01299168,0.077295414,0.352123478,-0.277494597,-0.072102975,-0.151924295,0.017822027
0.95,1.01492046,0.085085602,0.337631964,-0.308944292,-0.06739554,-0.113773273,0.015696353
0.967,1.01677125,0.090106553,0.322250208,-0.332747436,-0.05791095,-0.079609326,0.013615659
0.983,1.01854651,0.093135459,0.30427345,-0.34714631,-0.045164271,-0.050262599,0.011261998
1,1.02025268,0.094365789,0.286546676,-0.357415146,-0.028714691,-0.023497319,0.00910627
1.017,1.02271342,0.098292244,0.259488873,-0.35472808,-0.01349723,-0.003053037,0.006945664
1.033,1.02496008,0.101271108,0.232343183,-0.347097579,0.000390262,0.013483288,0.004839433
1.05,1.0275626,0.104051614,0.20468383,-0.337874596,0.013981842,0.029139153,0.003394733
1.067,1.03084417,0.10486776,0.176103024,-0.324932265,0.026364027,0.04396148,0.002619584
1.083,1.03419933,0.108548599,0.142576811,-0.305510872,0.034775943,0.054385463,0.002022062
1.1,1.0368907,0.107530497,0.11658072,-0.290603815,0.044529557,0.066492598,0.001670931
1.117,1.03952972,0.108050784,0.086606355,-0.270350125,0.051917154,0.075692987,0.001354976
1.133,1.04185321,0.108670405,0.05518981,-0.2474516,0.058089556,0.083591385,0.001049589
1.15,1.04296336,0.105394789,0.031907141,-0.229954972,0.065271836,0.092653042,0.000425879
1.167,1.0443779,0.105559102,0.002917823,-0.210135655,0.072909759,0.101658731,0.000387203
1.183,1.04499497,0.104350682,-0.022208774,-0.194037246,0.081581342,0.111895339,0.000212999
1.2,1.04539481,0.104111153,-0.052274388,-0.171835552,0.088410777,0.119998787,0
