time,ref_pelvis_ty,ref_pelvis_tilt,ref_hip_flexion_l,ref_knee_angle_l,ref_ankle_angle_l,tibia_angle_l,ankle_ty
0.4,1.04506422,4.81741308,-5.79549243,-7.33535694,5.39710797,8.31343629,0.000711687
0.417,1.04418473,4.80741137,-7.28440892,-6.33404953,5.62863786,8.81104708,0.000912607
0.433,1.04260688,4.71663092,-8.72478157,-5.3167808,5.88912383,9.32493145,0.000864534
0.45,1.04088889,4.84092526,-10.30761725,-4.47841451,6.24166928,9.9451065,0.001195802
0.467,1.0382929,4.70529606,-11.49059775,-3.84790562,6.64969224,10.63320731,0.001008314
0.483,1.03586969,4.63816583,-12.96257351,-2.9398077,6.9878691,11.26421538,0.001544073
0.5,1.03282511,4.49890941,-14.38123778,-2.07650312,7.3261432,11.95883149,0.002049032
0.517,1.0292762,4.35582053,-15.66585779,-1.46152018,7.75051873,12.77155744,0.002503584
0.533,1.02535838,4.18628959,-16.80471433,-1.13023352,8.31867189,13.74865826,0.003114804
0.55,1.02137934,4.10296654,-18.10694678,-0.73637822,8.77389725,14.74035846,0.004288985
0.567,1.01745382,4.0254982,-19.1877848,-0.77348927,9.4010042,15.93577587,0.005900363
0.583,1.01397722,3.87652211,-19.74324728,-1.63812655,10.27956803,17.50485172,0.008192447
0.6,1.01125686,3.86810018,-20.67645081,-2.257528,10.82940276,19.06587863,0.012297224
0.617,1.0089247,3.77337871,-21.17700917,-3.50507673,11.54983425,20.90870719,0.017191416
0.633,1.00738023,3.73595986,-21.55239449,-5.08532977,12.03659666,22.9017644,0.023410577
0.65,1.00611505,3.61102879,-21.72571064,-6.87806066,12.34978494,24.99274251,0.030533244
0.667,1.00553052,3.46731299,-21.66603511,-9.09424421,12.35009217,27.29296633,0.03918099
0.683,1.00570519,3.54349063,-21.4672716,-11.97663313,12.06273612,29.9004141,0.049623118
0.7,1.00698559,3.82051875,-21.20420792,-15.43707124,11.27932942,32.82076041,0.062844481
0.717,1.00877575,4.10151355,-20.33311836,-19.8812809,10.01895041,36.11288571,7.80E-02
0.733,1.01032207,4.20289517,-18.32187917,-25.84635694,8.26624039,39.96534094,0.095443318
0.75,1.01226213,4.29902447,-15.89824746,-32.14924789,5.48975595,43.74847088,0.114510148
0.767,1.01402186,4.22346959,-12.72118918,-38.88940743,1.86808458,47.38712702,0.134236403
0.783,1.01579051,4.15936391,-9.29378551,-45.38882448,-2.03430219,50.52324608,0.153236795
0.8,1.01756723,4.18011284,-5.97748518,-51.33433694,-5.41945433,53.13170928,0.171306338
0.817,1.01996876,4.26448769,-2.96726524,-56.32301832,-7.40786371,55.02579587,0.187182693
0.833,1.02274006,4.36787841,-0.15939525,-60.5015004,-7.78985196,56.29301724,0.200542611
0.85,1.02585818,4.48658166,2.44138103,-63.865174,-6.87914891,56.93721131,0.210903152
0.867,1.02920966,4.67242723,4.76890307,-66.33402107,-5.38717361,56.89269077,0.217276626
0.883,1.03243742,4.68680314,7.21784984,-68.02232905,-3.85984046,56.11767607,0.219047961
0.9,1.03561101,4.85506868,9.28527227,-68.87194548,-2.52516869,54.73160453,0.216821944
0.917,1.03829356,4.88893173,11.38041372,-68.92268018,-1.45200182,52.65333473,0.209886084
0.933,1.04078538,4.92151142,13.22154277,-68.10141176,-0.64256811,49.95835757,0.198920887
0.95,1.04210245,4.74934127,15.11003644,-66.59332345,-0.01404749,46.73394574,0.184113126
0.967,1.0429828,4.58799946,16.86052302,-64.42918039,0.50279784,42.98065791,0.166774155
