r0_1,r1_1,r2_1,r3_1,r6_1,r7_1,x_1,y_1,totalR_1,r0_2,r1_2,r2_2,r3_2,r6_2,r7_2,x_2,y_2,totalR_2,centre_x,centre_y,totalM
2.4172819,0.0,1.3639117,0.0,2.0154514,0.0,0.84,20.35,5.796645,2.2397988,0.0,1.1216447,0.0,Infinity,0.0,1.23,20.1,Infinity,NaN,NaN,Infinity
2.4172819,0.0,1.361452,0.0,1.9979835,0.0,0.83,20.35,5.776717,2.2397988,0.0,1.1216447,0.0,Infinity,0.0,1.23,20.09,Infinity,NaN,NaN,Infinity
2.3850968,0.0,1.3639117,0.0,1.9979835,0.0,0.83,20.34,5.746992,2.2397988,0.0,1.127455,0.0,Infinity,0.0,1.23,20.08,Infinity,NaN,NaN,Infinity
2.354255,0.0,1.361452,0.0,1.9811393,0.0,0.84,20.32,5.696846,2.1988266,0.0,1.1216447,0.0,Infinity,0.0,1.23,20.06,Infinity,NaN,NaN,Infinity
2.3850968,0.0,1.361452,0.0,1.9979835,0.0,0.83,20.34,5.744532,2.1988266,0.0,1.130405,0.0,Infinity,0.0,1.24,20.02,Infinity,NaN,NaN,Infinity
2.3850968,0.0,1.361452,0.0,2.0154514,0.0,0.84,20.33,5.762,2.1988266,0.0,1.127455,0.0,Infinity,0.0,1.24,20.04,Infinity,NaN,NaN,Infinity
2.3850968,0.0,1.3639117,0.0,1.9648808,0.0,0.81,20.36,5.7138896,2.1988266,0.0,1.1245351,0.0,Infinity,0.0,1.24,20.02,Infinity,NaN,NaN,Infinity
2.3850968,0.0,1.3663903,0.0,1.9811393,0.0,0.83,20.33,5.7326264,2.1607604,0.0,1.127455,0.0,Infinity,0.0,1.25,19.99,Infinity,NaN,NaN,Infinity
2.3850968,0.0,1.3639117,0.0,1.9811393,0.0,0.82,20.34,5.730148,2.1607604,0.0,1.127455,0.0,Infinity,0.0,1.25,20.0,Infinity,NaN,NaN,Infinity
2.3850968,0.0,1.361452,0.0,2.0524309,0.0,0.87,20.29,5.7989798,2.1607604,0.0,1.1363971,0.0,Infinity,0.0,1.26,19.96,Infinity,NaN,NaN,Infinity
2.3850968,0.0,1.3714043,0.0,1.9648808,0.0,0.81,20.36,5.721382,2.1252563,0.0,1.130405,0.0,Infinity,0.0,1.26,19.95,Infinity,NaN,NaN,Infinity
2.3850968,0.0,1.3663903,0.0,1.9648808,0.0,0.81,20.35,5.716368,2.1252563,0.0,1.127455,0.0,Infinity,0.0,1.26,19.96,Infinity,NaN,NaN,Infinity
2.3850968,0.0,1.3639117,0.0,1.9648808,0.0,0.81,20.37,5.7138896,2.1252563,0.0,1.1245351,0.0,Infinity,0.0,1.26,19.96,Infinity,NaN,NaN,Infinity
2.3850968,0.0,1.3639117,0.0,1.9491731,0.0,0.8,20.37,5.6981816,2.1252563,0.0,1.1333854,0.0,Infinity,0.0,1.27,19.92,Infinity,NaN,NaN,Infinity
2.3850968,0.0,1.3639117,0.0,1.9491731,0.0,0.8,20.37,5.6981816,2.0920265,0.0,1.130405,0.0,Infinity,0.0,1.27,19.9,Infinity,NaN,NaN,Infinity
