r0_1,r1_1,r2_1,r3_1,r6_1,r7_1,x_1,y_1,totalR_1,r0_2,r1_2,r2_2,r3_2,r6_2,r7_2,x_2,y_2,totalR_2,centre_x,centre_y,totalM
3.4440944,0.0,2.103157,0.0,1.2068704,0.0,-1.14,22.77,6.7541223,1.623952,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,0.0,0.0,Infinity
3.4440944,0.0,2.103157,0.0,1.2068704,0.0,-1.15,22.77,6.7541223,1.623952,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,NaN,NaN,Infinity
3.4440944,0.0,2.150465,0.0,1.2089045,0.0,-1.16,22.77,6.803464,1.623952,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,NaN,NaN,Infinity
3.4440944,0.0,2.1184428,0.0,1.2171884,0.0,-1.13,22.75,6.7797256,1.623952,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,NaN,NaN,Infinity
3.3457246,0.0,2.1184428,0.0,1.2109531,0.0,-1.14,22.75,6.675121,1.623952,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,NaN,NaN,Infinity
3.6726496,0.0,2.1342032,0.0,1.2109531,0.0,-1.19,22.87,7.017806,1.6355219,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,NaN,NaN,Infinity
3.4440944,0.0,2.1342032,0.0,1.2150948,0.0,-1.15,22.78,6.793392,1.6355219,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,NaN,NaN,Infinity
3.4440944,0.0,2.1342032,0.0,1.2300794,0.0,-1.13,22.75,6.8083773,1.6474369,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,NaN,NaN,Infinity
3.5524547,0.0,2.1342032,0.0,1.2458794,0.0,-1.11,22.72,6.932537,1.6474369,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,NaN,NaN,Infinity
3.5524547,0.0,2.150465,0.0,1.2257181,0.0,-1.15,22.78,6.928638,1.6474369,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,NaN,NaN,Infinity
3.5524547,0.0,2.150465,0.0,1.2553049,0.0,-1.1,22.71,6.958225,1.6597157,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,NaN,NaN,Infinity
3.5524547,0.0,2.150465,0.0,1.2412772,0.0,-1.13,22.76,6.944197,1.6723781,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,NaN,NaN,Infinity
3.5524547,0.0,2.150465,0.0,1.2367464,0.0,-1.14,22.76,6.9396663,1.6597157,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,NaN,NaN,Infinity
3.5524547,0.0,2.150465,0.0,1.2435694,0.0,-1.13,22.76,6.9464893,1.6854459,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,NaN,NaN,Infinity
3.6726496,0.0,2.150465,0.0,1.2505544,0.0,-1.13,22.76,7.073669,1.6854459,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,NaN,NaN,Infinity
3.6726496,0.0,2.167257,0.0,1.2505544,0.0,-1.13,22.76,7.0904613,1.6854459,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,NaN,NaN,Infinity
3.6726496,0.0,2.150465,0.0,1.2553049,0.0,-1.14,22.78,7.078419,1.6854459,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,NaN,NaN,Infinity
3.6726496,0.0,2.150465,0.0,1.2601328,0.0,-1.13,22.77,7.083247,1.6854459,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,NaN,NaN,Infinity
3.6726496,0.0,2.150465,0.0,1.2553049,0.0,-1.14,22.78,7.078419,1.7273244,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,NaN,NaN,Infinity
3.6726496,0.0,2.150465,0.0,1.257709,0.0,-1.13,22.76,7.0808234,1.6989423,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,NaN,NaN,Infinity
3.6726496,0.0,2.150465,0.0,1.2553049,0.0,-1.13,22.76,7.078419,1.7128927,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,NaN,NaN,Infinity
3.6726496,0.0,2.150465,0.0,1.2553049,0.0,-1.12,22.76,7.078419,1.6989423,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,NaN,NaN,Infinity
3.6726496,0.0,2.2211392,0.0,1.2553049,0.0,-1.16,22.79,7.1490936,1.6989423,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,NaN,NaN,Infinity
3.6726496,0.0,2.150465,0.0,1.2553049,0.0,-1.12,22.75,7.078419,1.6989423,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,NaN,NaN,Infinity
3.6726496,0.0,2.150465,0.0,1.2881749,0.0,-1.08,22.69,7.111289,1.6989423,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,NaN,NaN,Infinity
3.6726496,0.0,2.167257,0.0,1.2505544,0.0,-1.14,22.78,7.0904613,1.6989423,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,NaN,NaN,Infinity
3.6726496,0.0,2.150465,0.0,1.2505544,0.0,-1.14,22.77,7.073669,1.7128927,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,NaN,NaN,Infinity
3.6726496,0.0,2.150465,0.0,1.2505544,0.0,-1.14,22.77,7.073669,1.6989423,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,NaN,NaN,Infinity
3.5524547,0.0,2.150465,0.0,1.2435694,0.0,-1.14,22.78,6.9464893,1.6854459,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,NaN,NaN,Infinity
3.5524547,0.0,2.150465,0.0,1.2458794,0.0,-1.13,22.76,6.948799,1.6854459,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,NaN,NaN,Infinity
