r0_1,r1_1,r2_1,r3_1,r6_1,r7_1,x_1,y_1,totalR_1,r0_2,r1_2,r2_2,r3_2,r6_2,r7_2,x_2,y_2,totalR_2,centre_x,centre_y,totalM
1.4827895,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,Infinity,0.0,Infinity,0.0,Infinity,0.0,0.0,0.0,Infinity,NaN,NaN,Infinity
1.503634,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,Infinity,0.0,Infinity,0.0,Infinity,0.0,0.0,0.0,Infinity,NaN,NaN,Infinity
1.5329587,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,Infinity,0.0,Infinity,0.0,Infinity,0.0,0.0,0.0,Infinity,NaN,NaN,Infinity
1.5976218,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,Infinity,0.0,Infinity,0.0,Infinity,0.0,0.0,0.0,Infinity,NaN,NaN,Infinity
1.652364,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,Infinity,0.0,Infinity,0.0,Infinity,0.0,0.0,0.0,Infinity,NaN,NaN,Infinity
1.6720049,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,Infinity,0.0,Infinity,0.0,Infinity,0.0,0.0,0.0,Infinity,NaN,NaN,Infinity
1.6720049,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,Infinity,0.0,0.5354588,0.0,Infinity,0.0,1.0,21.0,Infinity,NaN,NaN,Infinity
1.6428186,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,Infinity,0.0,0.63697445,0.0,Infinity,0.0,1.0,21.0,Infinity,NaN,NaN,Infinity
1.6334486,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,Infinity,0.0,0.71652013,0.0,Infinity,0.0,1.0,21.0,Infinity,NaN,NaN,Infinity
1.6428186,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,Infinity,0.0,0.7615381,0.0,Infinity,0.0,1.0,21.0,Infinity,NaN,NaN,Infinity
1.6720049,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,Infinity,0.0,0.78412,0.0,Infinity,0.0,1.0,21.0,Infinity,NaN,NaN,Infinity
1.7357885,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,Infinity,0.0,0.7964538,0.0,Infinity,0.0,1.0,21.0,Infinity,NaN,NaN,Infinity
1.8345389,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,Infinity,0.0,0.8168963,0.0,Infinity,0.0,1.0,21.0,Infinity,NaN,NaN,Infinity
1.8345389,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,Infinity,0.0,0.8168963,0.0,Infinity,0.0,1.0,21.0,Infinity,NaN,NaN,Infinity
1.8765532,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,Infinity,0.0,0.8279286,0.0,Infinity,0.0,1.0,21.0,Infinity,NaN,NaN,Infinity
1.9218398,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,Infinity,0.0,0.8386525,0.0,Infinity,0.0,1.0,21.0,Infinity,NaN,NaN,Infinity
1.9540703,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,Infinity,0.0,0.84898025,0.0,Infinity,0.0,1.0,21.0,Infinity,NaN,NaN,Infinity
1.9708544,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,Infinity,0.0,0.86494136,0.0,Infinity,0.0,1.0,21.0,Infinity,NaN,NaN,Infinity
2.0058687,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,Infinity,0.0,0.88781357,0.0,Infinity,0.0,1.0,21.0,Infinity,NaN,NaN,Infinity
2.0429735,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,Infinity,0.0,0.9171423,0.0,Infinity,0.0,1.0,21.0,Infinity,NaN,NaN,Infinity
2.1030405,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,Infinity,0.0,0.9319333,0.0,Infinity,0.0,1.0,21.0,Infinity,NaN,NaN,Infinity
2.1464102,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,Infinity,0.0,0.95831525,0.0,Infinity,0.0,1.0,21.0,Infinity,NaN,NaN,Infinity
2.1692076,0.0,Infinity,0.0,Infinity,0.0,3.0,13.0,Infinity,Infinity,0.0,0.9793229,0.0,Infinity,0.0,1.0,21.0,Infinity,NaN,NaN,Infinity
2.2689097,0.0,0.6065545,0.0,Infinity,0.0,1.03,20.87,Infinity,Infinity,0.0,0.99859816,0.0,Infinity,0.0,1.0,21.0,Infinity,NaN,NaN,Infinity
2.2172523,0.0,0.62016267,0.0,Infinity,0.0,1.04,20.85,Infinity,Infinity,0.0,1.0174893,0.0,Infinity,0.0,1.0,21.0,Infinity,NaN,NaN,Infinity
2.2426012,0.0,0.6245494,0.0,Infinity,0.0,1.04,20.85,Infinity,Infinity,0.0,1.0274804,0.0,Infinity,0.0,1.0,21.0,Infinity,NaN,NaN,Infinity
2.2689097,0.0,0.66193026,0.0,Infinity,0.0,1.04,20.83,Infinity,Infinity,0.0,1.0443041,0.0,Infinity,0.0,1.0,21.0,Infinity,NaN,NaN,Infinity
2.296241,0.0,0.6922661,0.0,Infinity,0.0,1.05,20.81,Infinity,Infinity,0.0,1.0622659,0.0,Infinity,0.0,1.0,21.0,Infinity,NaN,NaN,Infinity
2.354255,0.0,0.6994044,0.0,Infinity,0.0,1.05,20.81,Infinity,Infinity,0.0,1.0741318,0.0,Infinity,0.0,1.0,21.0,Infinity,NaN,NaN,Infinity
2.354255,0.0,0.6994044,0.0,Infinity,0.0,1.05,20.81,Infinity,Infinity,0.0,1.0890862,0.0,Infinity,0.0,1.0,21.0,Infinity,NaN,NaN,Infinity
2.324664,0.0,0.7168351,0.0,Infinity,0.0,1.05,20.79,Infinity,Infinity,0.0,1.0916593,0.0,Infinity,0.0,1.0,21.0,Infinity,NaN,NaN,Infinity
2.450912,0.0,0.7202361,0.0,Infinity,0.0,1.05,20.81,Infinity,Infinity,0.0,1.1076179,0.0,Infinity,0.0,1.0,21.0,Infinity,NaN,NaN,Infinity
2.324664,0.0,0.72370565,0.0,Infinity,0.0,1.05,20.79,Infinity,Infinity,0.0,1.1103683,0.0,Infinity,0.0,1.0,21.0,Infinity,NaN,NaN,Infinity
2.324664,0.0,0.7202361,0.0,Infinity,0.0,1.05,20.79,Infinity,Infinity,0.0,1.1103683,0.0,Infinity,0.0,1.0,21.0,Infinity,NaN,NaN,Infinity
2.296241,0.0,0.7400413,0.0,Infinity,0.0,1.06,20.76,Infinity,Infinity,0.0,1.1216447,0.0,Infinity,0.0,1.0,21.0,Infinity,NaN,NaN,Infinity
2.2689097,0.0,0.72706723,0.0,Infinity,0.0,1.06,20.77,Infinity,Infinity,0.0,1.1159505,0.0,Infinity,0.0,1.0,21.0,Infinity,NaN,NaN,Infinity
2.2689097,0.0,0.7303129,0.0,Infinity,0.0,1.06,20.76,Infinity,Infinity,0.0,1.1159505,0.0,Infinity,0.0,1.0,21.0,Infinity,NaN,NaN,Infinity
2.2172523,0.0,0.7303129,0.0,Infinity,0.0,1.06,20.75,Infinity,Infinity,0.0,1.1131456,0.0,Infinity,0.0,1.0,21.0,Infinity,NaN,NaN,Infinity
2.1464102,0.0,0.7303129,0.0,Infinity,0.0,1.07,20.74,Infinity,Infinity,0.0,1.1131456,0.0,Infinity,0.0,1.0,21.0,Infinity,NaN,NaN,Infinity
2.1030405,0.0,0.7368014,0.0,Infinity,0.0,1.07,20.72,Infinity,Infinity,0.0,1.1159505,0.0,Infinity,0.0,1.0,21.0,Infinity,NaN,NaN,Infinity
2.0823886,0.0,0.7497245,0.0,Infinity,0.0,1.08,20.69,Infinity,Infinity,0.0,1.1159505,0.0,Infinity,0.0,1.0,21.0,Infinity,NaN,NaN,Infinity
2.0429735,0.0,0.74334157,0.0,Infinity,0.0,1.08,20.69,Infinity,Infinity,0.0,1.1245351,0.0,Infinity,0.0,1.0,21.0,Infinity,NaN,NaN,Infinity
2.0241468,0.0,0.75279653,0.0,Infinity,0.0,1.08,20.67,Infinity,Infinity,0.0,1.1216447,0.0,Infinity,0.0,1.0,21.0,Infinity,NaN,NaN,Infinity
2.0058687,0.0,0.74334157,0.0,Infinity,0.0,1.08,20.68,Infinity,Infinity,0.0,1.1187834,0.0,Infinity,0.0,1.0,21.0,Infinity,NaN,NaN,Infinity
2.0058687,0.0,0.7621212,0.0,Infinity,0.0,1.09,20.65,Infinity,Infinity,0.0,1.127455,0.0,Infinity,0.0,1.0,21.0,Infinity,NaN,NaN,Infinity
2.0058687,0.0,0.7497245,0.0,Infinity,0.0,1.08,20.67,Infinity,Infinity,0.0,1.127455,0.0,Infinity,0.0,1.0,21.0,Infinity,NaN,NaN,Infinity
2.0241468,0.0,0.7465045,0.0,Infinity,0.0,1.08,20.68,Infinity,Infinity,0.0,1.127455,0.0,Infinity,0.0,1.0,21.0,Infinity,NaN,NaN,Infinity
2.0241468,0.0,0.75279653,0.0,Infinity,0.0,1.08,20.67,Infinity,Infinity,0.0,1.1333854,0.0,Infinity,0.0,1.0,21.0,Infinity,NaN,NaN,Infinity
2.0429735,0.0,0.81478137,0.0,Infinity,0.0,1.1,20.59,Infinity,Infinity,0.0,1.1363971,0.0,Infinity,0.0,1.0,21.0,Infinity,NaN,NaN,Infinity
2.0623772,0.0,0.7336199,0.0,Infinity,0.0,1.07,20.71,Infinity,Infinity,0.0,1.1456249,0.0,Infinity,0.0,1.0,21.0,Infinity,NaN,NaN,Infinity
2.0823886,0.0,0.7368014,0.0,Infinity,0.0,1.07,20.71,Infinity,Infinity,0.0,1.158401,0.0,0.3804236,0.0,-1.85,23.85,Infinity,NaN,NaN,Infinity
2.1030405,0.0,0.72370565,0.0,Infinity,0.0,1.07,20.73,Infinity,Infinity,0.0,1.1650034,0.0,0.40440473,0.0,-1.83,23.83,Infinity,NaN,NaN,Infinity
2.1030405,0.0,0.72370565,0.0,Infinity,0.0,1.07,20.73,Infinity,Infinity,0.0,1.1751913,0.0,0.43868586,0.0,-1.79,23.79,Infinity,NaN,NaN,Infinity
2.1243682,0.0,0.7168351,0.0,Infinity,0.0,1.06,20.74,Infinity,Infinity,0.0,1.1857387,0.0,0.4531741,0.0,-1.78,23.78,Infinity,NaN,NaN,Infinity
2.0823886,0.0,0.72370565,0.0,0.55034024,0.0,-0.88,22.8,3.3564343,Infinity,0.0,1.1929812,0.0,0.46981308,0.0,-1.77,23.77,Infinity,NaN,NaN,Infinity
2.0823886,0.0,0.7202361,0.0,0.57465476,0.0,-0.77,22.68,3.3772795,Infinity,0.0,1.2041795,0.0,0.48839715,0.0,-1.75,23.75,Infinity,NaN,NaN,Infinity
2.0429735,0.0,0.7400413,0.0,0.5971154,0.0,-0.73,22.64,3.3801303,Infinity,0.0,1.2158029,0.0,0.5011498,0.0,-1.74,23.74,Infinity,NaN,NaN,Infinity
1.9540703,0.0,0.76831347,0.0,0.64087355,0.0,-0.63,22.51,3.3632574,Infinity,0.0,1.2404438,0.0,0.47790146,0.0,-1.78,23.78,Infinity,NaN,NaN,Infinity
