r0_1,r2_1,r6_1,x_1,y_1,totalR_1,r0_2,r2_2,r6_2,x_2,y_2,totalR_2,centre_x,centre_y,totalM
0.5910916,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
0.7299694,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
0.86677295,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.0250645,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.1548479,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.359,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.5806327,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.7588649,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.862205,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.9377388,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.9708544,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.0241468,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.0241468,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.0623772,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.1030405,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.0623772,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.0823886,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.1030405,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.1243682,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.1243682,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.1692076,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.1928053,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.2426012,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.2689097,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.324664,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.3850968,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.4861004,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.522973,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.6023524,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.6451952,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.690401,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.7381988,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.7888503,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.7888503,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.8426557,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.8426557,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.8426557,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.8426557,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.8426557,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.9611716,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.7888503,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.7888503,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.7888503,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.7381988,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.7888503,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.7381988,0.63322514,Infinity,1.02,20.9,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.7381988,0.68486476,Infinity,1.03,20.87,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.7381988,0.7336199,Infinity,1.04,20.84,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.7888503,0.7773006,Infinity,1.05,20.82,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.7888503,0.8257148,Infinity,1.06,20.78,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.7381988,0.8750404,Infinity,1.07,20.73,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.7888503,0.9230258,Infinity,1.08,20.69,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.7888503,1.0048201,Infinity,1.1,20.6,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.7888503,0.9702247,Infinity,1.09,20.64,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.8426557,1.0027602,Infinity,1.1,20.62,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.8426557,1.0234476,Infinity,1.1,20.59,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.8999617,1.0444162,Infinity,1.1,20.59,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.9611716,1.0585836,Infinity,1.1,20.58,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.9611716,1.0699787,Infinity,1.11,20.57,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.9611716,1.0856868,0.55868167,-1.55,23.5,4.60554,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.9611716,1.103422,0.61460274,-1.44,23.37,4.6791964,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
3.0972743,1.1096096,0.6711473,-1.3,23.23,4.8780313,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
3.0972743,1.1382099,0.710079,-1.24,23.16,4.9455633,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
3.0972743,1.1393727,0.7672533,-1.09,22.99,5.0039005,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
3.1733844,1.1574334,0.78083587,-1.09,22.98,5.1116533,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
3.1733844,1.1624559,0.7989984,-1.05,22.94,5.1348386,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
3.2558806,1.1740985,0.8266999,-0.99,22.88,5.256679,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
3.2558806,1.1834995,0.8658217,-0.91,22.79,5.305202,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
3.3457246,1.196063,0.8985581,-0.85,22.72,5.440346,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
3.2558806,1.2092028,0.99380976,-0.62,22.46,5.458893,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
3.3457246,1.2122056,0.9750066,-0.68,22.53,5.5329366,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
3.4440944,1.2261158,0.9973974,-0.65,22.5,5.667608,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
3.4440944,1.2474453,1.031339,-0.61,22.44,5.722879,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
3.8070421,1.2543281,1.0807445,-0.52,22.37,6.1421146,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
3.5524547,1.2595958,1.1146206,-0.44,22.26,5.926671,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
3.5524547,1.275972,1.1468941,-0.4,22.2,5.975321,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
3.6726496,1.2873992,1.1816784,-0.34,22.15,6.141727,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
3.6726496,1.2972564,1.2008543,-0.32,22.13,6.17076,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
3.8070421,1.3116032,1.2390031,-0.28,22.08,6.3576484,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
3.8070421,1.3158258,1.2482076,-0.26,22.06,6.3710756,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
3.9587197,1.3288435,1.2802645,-0.23,22.05,6.5678277,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
3.9587197,1.3470712,1.3074716,-0.21,22.02,6.6132627,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
3.9587197,1.3590105,1.3250303,-0.2,22,6.6427603,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
4.1318073,1.3663903,1.340456,-0.19,22,6.8386536,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
4.1318073,1.3764961,1.356672,-0.18,21.98,6.864976,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
4.3319674,1.3895798,1.3737531,-0.17,21.98,7.0953,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
4.3319674,1.394961,1.3880974,-0.15,21.96,7.1150255,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
4.3319674,1.4203047,1.3992836,-0.17,21.97,7.151556,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
4.3319674,1.4262037,1.4030983,-0.17,21.98,7.161269,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
4.3319674,1.4352478,1.4352974,-0.14,21.95,7.2025127,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
4.5672274,1.4476885,1.4310997,-0.17,21.97,7.4460154,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
4.5672274,1.4540806,1.443852,-0.16,21.97,7.46516,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
4.5672274,1.4605922,1.443852,-0.16,21.98,7.4716716,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
4.5672274,1.4672272,1.4482113,-0.17,21.99,7.4826655,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
4.849434,1.4774206,1.4662247,-0.16,21.98,7.7930794,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
4.5672274,1.4808849,1.4708787,-0.16,21.97,7.518991,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
4.849434,1.4879164,1.4662247,-0.18,22,7.803575,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
4.849434,1.4914849,1.4662247,-0.18,22,7.807143,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
4.849434,1.4950894,1.4852271,-0.16,21.98,7.8297505,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
4.849434,1.5061255,1.4852271,-0.17,22,7.8407865,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
4.849434,1.529262,1.4571,-0.25,22.07,7.835796,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
4.849434,1.5213852,1.4069576,-0.33,22.16,7.7777767,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
4.849434,1.529262,1.4616323,-0.25,22.06,7.840328,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
4.849434,1.5332649,1.4852271,-0.21,22.02,7.867926,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
4.849434,1.537312,1.4852271,-0.22,22.04,7.871973,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
4.849434,1.5332649,1.4852271,-0.22,22.03,7.867926,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
