r0_1,r2_1,r6_1,x_1,y_1,totalR_1,r0_2,r2_2,r6_2,x_2,y_2,totalR_2,centre_x,centre_y,totalM
Infinity,Infinity,Infinity,0,0,Infinity,Infinity,Infinity,0.4010766,-2,24,Infinity,NaN,NaN,Infinity
Infinity,Infinity,Infinity,0,0,Infinity,Infinity,Infinity,0.49355453,-2,24,Infinity,NaN,NaN,Infinity
Infinity,Infinity,Infinity,0,0,Infinity,Infinity,Infinity,0.55125123,-2,24,Infinity,NaN,NaN,Infinity
Infinity,Infinity,Infinity,0,0,Infinity,Infinity,Infinity,0.5882326,-2,24,Infinity,NaN,NaN,Infinity
Infinity,Infinity,Infinity,0,0,Infinity,Infinity,Infinity,0.62341404,-2,24,Infinity,NaN,NaN,Infinity
Infinity,Infinity,Infinity,0,0,Infinity,Infinity,Infinity,0.660866,-2,24,Infinity,NaN,NaN,Infinity
Infinity,Infinity,Infinity,0,0,Infinity,Infinity,Infinity,0.69458336,-2,24,Infinity,NaN,NaN,Infinity
Infinity,Infinity,Infinity,0,0,Infinity,Infinity,Infinity,0.7145711,-2,24,Infinity,NaN,NaN,Infinity
Infinity,Infinity,Infinity,0,0,Infinity,Infinity,Infinity,0.7145711,-2,24,Infinity,NaN,NaN,Infinity
Infinity,Infinity,Infinity,0,0,Infinity,Infinity,Infinity,0.71831805,-2,24,Infinity,NaN,NaN,Infinity
Infinity,Infinity,Infinity,0,0,Infinity,Infinity,Infinity,0.7127238,-2,24,Infinity,NaN,NaN,Infinity
Infinity,Infinity,Infinity,0,0,Infinity,Infinity,Infinity,0.71643585,-2,24,Infinity,NaN,NaN,Infinity
Infinity,Infinity,Infinity,0,0,Infinity,Infinity,Infinity,0.72342527,-2,24,Infinity,NaN,NaN,Infinity
Infinity,Infinity,Infinity,0,0,Infinity,Infinity,Infinity,0.7360975,-2,24,Infinity,NaN,NaN,Infinity
Infinity,Infinity,Infinity,0,0,Infinity,Infinity,Infinity,0.7518182,-2,24,Infinity,NaN,NaN,Infinity
Infinity,Infinity,Infinity,0,0,Infinity,Infinity,Infinity,0.76961815,-2,24,Infinity,NaN,NaN,Infinity
