r0_1,r2_1,r6_1,x_1,y_1,totalR_1,r0_2,r2_2,r6_2,x_2,y_2,totalR_2,centre_x,centre_y,totalM
0.3688079,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
0.46116325,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
0.53348047,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
0.6259271,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
0.7391215,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
0.82983553,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
0.8867083,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
0.92547804,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.039849,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.14,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.2553436,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.3539034,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.4375603,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.5806327,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.6242492,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.6720049,0.7135,Infinity,1.1,20.58,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.7136616,0.7920316,Infinity,1.14,20.46,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.7357885,0.8309488,Infinity,1.15,20.4,Infinity,Infinity,0.5305255,Infinity,1,21,Infinity,NaN,NaN,Infinity
1.7588649,0.86484104,Infinity,1.17,20.33,Infinity,Infinity,0.6465743,Infinity,1,21,Infinity,NaN,NaN,Infinity
1.7707809,0.9230258,Infinity,1.2,20.21,Infinity,Infinity,0.7027434,Infinity,1,21,Infinity,NaN,NaN,Infinity
1.7829615,0.8923805,Infinity,1.18,20.29,Infinity,Infinity,0.7435859,Infinity,1,21,Infinity,NaN,NaN,Infinity
1.808157,0.9112517,Infinity,1.18,20.27,Infinity,Infinity,0.777886,Infinity,1,21,Infinity,NaN,NaN,Infinity
1.808157,0.9230258,Infinity,1.19,20.24,Infinity,Infinity,0.8056363,Infinity,1,21,Infinity,NaN,NaN,Infinity
1.8345389,0.9349511,Infinity,1.19,20.24,Infinity,Infinity,0.8470651,Infinity,1,21,Infinity,NaN,NaN,Infinity
1.8345389,0.95974207,Infinity,1.2,20.18,Infinity,Infinity,0.8799261,Infinity,1,21,Infinity,NaN,NaN,Infinity
1.8482049,0.9750402,Infinity,1.21,20.15,Infinity,Infinity,0.90446377,Infinity,1,21,Infinity,NaN,NaN,Infinity
1.862205,0.9901104,Infinity,1.22,20.12,Infinity,Infinity,0.92108464,0.41094306,-1.66,23.66,Infinity,NaN,NaN,Infinity
1.862205,1.0007179,Infinity,1.23,20.1,Infinity,Infinity,0.940409,0.49604034,-1.51,23.51,Infinity,NaN,NaN,Infinity
1.8765532,1.0068978,Infinity,1.23,20.1,Infinity,Infinity,0.9614326,0.4588634,-1.61,23.61,Infinity,NaN,NaN,Infinity
1.8912644,1.0543334,Infinity,1.25,19.99,Infinity,Infinity,0.9793229,0.46708894,-1.61,23.61,Infinity,NaN,NaN,Infinity
1.9063543,1.0294774,Infinity,1.23,20.07,Infinity,Infinity,0.9879016,0.46981308,-1.62,23.62,Infinity,NaN,NaN,Infinity
1.9218398,1.0340985,Infinity,1.23,20.08,Infinity,Infinity,0.99859816,0.47790146,-1.61,23.61,Infinity,NaN,NaN,Infinity
1.9377388,1.0380163,Infinity,1.23,20.08,Infinity,Infinity,1.0155364,0.47529346,-1.63,23.63,Infinity,NaN,NaN,Infinity
1.9540703,1.0460421,Infinity,1.23,20.08,Infinity,Infinity,1.0254513,0.47529346,-1.64,23.64,Infinity,NaN,NaN,Infinity
2.0058687,1.0518172,Infinity,1.23,20.1,Infinity,Infinity,1.0295254,0.48312324,-1.63,23.63,Infinity,NaN,NaN,Infinity
1.9881129,1.0543334,Infinity,1.23,20.09,Infinity,Infinity,1.0421416,0.47790146,-1.65,23.65,Infinity,NaN,NaN,Infinity
2.0823886,1.0620358,Infinity,1.21,20.15,Infinity,Infinity,1.0464844,0.48573455,-1.64,23.64,Infinity,NaN,NaN,Infinity
2.0058687,1.0637796,Infinity,1.23,20.08,Infinity,Infinity,1.0486827,0.4985716,-1.63,23.63,Infinity,NaN,NaN,Infinity
2.0058687,1.0717777,Infinity,1.23,20.06,Infinity,Infinity,1.0531344,0.49355453,-1.64,23.64,Infinity,NaN,NaN,Infinity
2.0058687,1.0717777,Infinity,1.23,20.06,Infinity,Infinity,1.0531344,0.4985716,-1.63,23.63,Infinity,NaN,NaN,Infinity
2.0058687,1.0837885,Infinity,1.24,20.03,Infinity,Infinity,1.0599538,0.5035997,-1.63,23.63,Infinity,NaN,NaN,Infinity
2.0058687,1.0717777,Infinity,1.23,20.06,Infinity,Infinity,1.064598,0.5011498,-1.63,23.63,Infinity,NaN,NaN,Infinity
2.0241468,1.0699787,Infinity,1.23,20.08,Infinity,Infinity,1.064598,0.5011498,-1.63,23.63,Infinity,NaN,NaN,Infinity
2.0241468,1.0699787,Infinity,1.23,20.08,Infinity,Infinity,1.0669503,0.5184757,-1.61,23.61,Infinity,NaN,NaN,Infinity
2.0241468,1.0763314,Infinity,1.23,20.07,Infinity,Infinity,1.064598,0.5011498,-1.63,23.63,Infinity,NaN,NaN,Infinity
2.0241468,1.0745002,Infinity,1.23,20.07,Infinity,Infinity,1.0669503,0.5035997,-1.63,23.63,Infinity,NaN,NaN,Infinity
2.0623772,1.0681922,Infinity,1.22,20.12,Infinity,Infinity,1.0669503,0.5086314,-1.62,23.62,Infinity,NaN,NaN,Infinity
2.0429735,1.0620358,Infinity,1.22,20.11,Infinity,Infinity,1.0669503,0.5086314,-1.62,23.62,Infinity,NaN,NaN,Infinity
2.0429735,1.0763314,Infinity,1.23,20.07,Infinity,Infinity,1.0693231,0.5159506,-1.62,23.62,Infinity,NaN,NaN,Infinity
2.0623772,1.0717777,Infinity,1.23,20.1,Infinity,Infinity,1.0622659,0.5086314,-1.62,23.62,Infinity,NaN,NaN,Infinity
2.0623772,1.0763314,Infinity,1.23,20.1,Infinity,Infinity,1.0622659,0.50609314,-1.62,23.62,Infinity,NaN,NaN,Infinity
2.0623772,1.0745002,Infinity,1.23,20.09,Infinity,Infinity,1.0599538,0.5159506,-1.61,23.61,Infinity,NaN,NaN,Infinity
2.0429735,1.0745002,Infinity,1.23,20.09,Infinity,Infinity,1.0622659,0.5035997,-1.63,23.63,Infinity,NaN,NaN,Infinity
