r0_1,r2_1,r6_1,x_1,y_1,totalR_1,r0_2,r2_2,r6_2,x_2,y_2,totalR_2,centre_x,centre_y,totalM
0.48830903,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
0.8107383,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.0530854,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.2436146,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.3854465,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.5329587,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.6924198,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.8211939,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.9218398,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.9881129,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.0241468,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.0623772,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.0823886,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.1030405,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.1692076,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.324664,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.3850968,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.4861004,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.561671,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.690401,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.7381988,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.7888503,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
