r0_1,r2_1,r6_1,x_1,y_1,totalR_1,r0_2,r2_2,r6_2,x_2,y_2,totalR_2,centre_x,centre_y,totalM
0.3911694,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
0.42255357,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
0.43249372,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
0.44545484,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
0.45502764,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
0.4580623,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
0.4793441,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
0.48532245,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
0.48830903,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
0.52540493,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
0.54170704,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
0.5760202,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
0.63060385,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
0.68740857,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
0.73485166,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
0.7850093,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
0.8256944,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
0.8893058,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
0.95679086,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.0334289,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.1120613,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.14,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.1931986,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.2436146,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.3061092,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.3641592,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.4021356,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.4375603,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.4896338,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.5329587,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.5483315,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.5642132,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.5723537,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.5806327,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.6152148,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.6242492,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.6334486,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.652364,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.652364,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.6620909,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.6620909,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.6620909,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.652364,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.6620909,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.6720049,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.7357885,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.7029338,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.7246104,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.7588649,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.7954166,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.8345389,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.8482049,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.862205,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.862205,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.8912644,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.9063543,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.9218398,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.9377388,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.9708544,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.0058687,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.0623772,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.1243682,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.1464102,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.1692076,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.1928053,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.2426012,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.2689097,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.296241,0.6065545,Infinity,1.03,20.87,Infinity,0.45669603,Infinity,Infinity,3,13,Infinity,NaN,NaN,Infinity
2.354255,0.70293593,Infinity,1.05,20.81,Infinity,0.5184947,Infinity,Infinity,3,13,Infinity,NaN,NaN,Infinity
2.450912,0.78624755,Infinity,1.06,20.75,Infinity,0.54636705,Infinity,Infinity,3,13,Infinity,NaN,NaN,Infinity
2.354255,0.8445005,Infinity,1.08,20.67,Infinity,0.59367317,Infinity,Infinity,3,13,Infinity,NaN,NaN,Infinity
2.3850968,0.88987416,Infinity,1.1,20.62,Infinity,0.6096813,Infinity,Infinity,3,13,Infinity,NaN,NaN,Infinity
2.3850968,0.93241346,Infinity,1.11,20.56,Infinity,0.6273874,Infinity,Infinity,3,13,Infinity,NaN,NaN,Infinity
2.3850968,0.96145636,Infinity,1.12,20.51,Infinity,0.64427596,Infinity,Infinity,3,13,Infinity,NaN,NaN,Infinity
2.3850968,0.98753077,Infinity,1.13,20.47,Infinity,0.6563586,Infinity,Infinity,3,13,Infinity,NaN,NaN,Infinity
2.3850968,1.021224,Infinity,1.14,20.43,Infinity,0.68199134,Infinity,Infinity,3,13,Infinity,NaN,NaN,Infinity
2.3850968,1.0543334,Infinity,1.16,20.36,Infinity,0.6987961,0.4185483,Infinity,1.41,19.34,Infinity,NaN,NaN,Infinity
2.354255,1.1096096,0.55034024,-1.56,23.49,4.014205,0.7119037,0.49666354,Infinity,1.58,18.68,Infinity,NaN,NaN,Infinity
2.296241,1.1096096,0.6076814,-1.42,23.32,4.013532,0.7206804,0.56375283,Infinity,1.73,18.1,Infinity,NaN,NaN,Infinity
2.2689097,1.1347511,0.6471059,-1.35,23.22,4.0507665,0.73830056,0.63117576,Infinity,1.85,17.61,Infinity,NaN,NaN,Infinity
2.2426012,1.1904107,0.70480627,-1.26,23.09,4.1378183,0.76923084,0.6977825,Infinity,1.93,17.28,Infinity,NaN,NaN,Infinity
2.2172523,1.1904107,0.73323315,-1.18,22.99,4.140896,0.7724644,0.75355136,Infinity,2.04,16.86,Infinity,NaN,NaN,Infinity
2.1928053,1.2122056,0.7786064,-1.09,22.85,4.1836176,0.7986433,0.7979557,Infinity,2.07,16.73,Infinity,NaN,NaN,Infinity
2.1928053,1.2357697,0.8163697,-1.01,22.74,4.2449446,0.82245874,0.8701775,Infinity,2.15,16.41,Infinity,NaN,NaN,Infinity
2.0429735,1.2685845,0.8432963,-0.95,22.61,4.1548543,0.8535315,0.9145505,Infinity,2.16,16.34,Infinity,NaN,NaN,Infinity
1.9218398,1.2893456,0.88127935,-0.84,22.41,4.092465,0.8759562,0.95986897,Infinity,2.19,16.23,Infinity,NaN,NaN,Infinity
1.8482049,1.3116032,0.9117363,-0.75,22.25,4.0715446,0.89596164,1.0041206,Infinity,2.22,16.1,Infinity,NaN,NaN,Infinity
1.7472037,1.3378278,0.93178815,-0.68,22.07,4.0168195,0.9061748,1.0399965,Infinity,2.25,15.98,Infinity,NaN,NaN,Infinity
1.6620909,1.3541819,0.9538521,-0.59,21.89,3.970125,0.9190866,1.0741318,Infinity,2.28,15.89,Infinity,NaN,NaN,Infinity
1.5976218,1.3714043,0.98166925,-0.49,21.68,3.9506953,0.93044525,1.1103683,Infinity,2.31,15.77,Infinity,NaN,NaN,Infinity
1.5405831,1.4031987,1.0056751,-0.4,21.48,3.949457,0.94736445,1.1551543,Infinity,2.33,15.67,Infinity,NaN,NaN,Infinity
1.4760458,1.429192,1.019153,-0.33,21.29,3.9243908,0.95115757,1.1929812,Infinity,2.37,15.53,Infinity,NaN,NaN,Infinity
1.3854465,1.441412,1.0497162,-0.17,20.92,3.8765748,0.9550137,1.2197767,Infinity,2.39,15.44,Infinity,NaN,NaN,Infinity
1.3152332,1.4672272,1.0576998,-0.08,20.68,3.8401604,0.9550137,1.2447457,Infinity,2.41,15.34,Infinity,NaN,NaN,Infinity
1.2436146,1.4808849,1.0659469,0.03,20.4,3.7904463,0.93996,1.2766023,Infinity,2.47,15.12,Infinity,NaN,NaN,Infinity
1.173518,1.4843832,1.0782175,0.17,20.07,3.7361188,0.9281274,1.3066428,Infinity,2.51,14.98,Infinity,NaN,NaN,Infinity
1.093767,1.502409,1.0845826,0.32,19.68,3.6807587,0.8979666,1.3282974,Infinity,2.56,14.76,Infinity,NaN,NaN,Infinity
1.0209633,1.5175097,1.0937678,0.49,19.27,3.6322408,0.87324417,1.3574734,Infinity,2.61,14.56,Infinity,NaN,NaN,Infinity
0.94228286,1.5332649,1.1060784,0.69,18.76,3.5816262,0.85028464,1.3893435,Infinity,2.65,14.38,Infinity,NaN,NaN,Infinity
0.80405134,1.541404,1.1160718,1.08,17.81,3.4615273,0.8332861,1.39608,Infinity,2.68,14.29,Infinity,NaN,NaN,Infinity
0.68740857,1.5455418,1.1356977,1.47,16.84,3.368648,0.80497575,1.4243747,Infinity,2.72,14.12,Infinity,NaN,NaN,Infinity
0.5886633,1.5539588,1.1535065,1.82,15.98,3.2961285,0.78539807,1.4393996,Infinity,2.74,14.03,Infinity,NaN,NaN,Infinity
0.42922115,1.5625705,1.1707741,2.34,14.68,3.1625657,0.7639623,1.4631581,Infinity,2.77,13.92,Infinity,NaN,NaN,Infinity
Infinity,1.5625705,1.187295,-0.9,22.9,Infinity,0.73830056,1.4885375,Infinity,2.8,13.79,Infinity,NaN,NaN,Infinity
Infinity,1.5625705,1.2048509,-0.86,22.86,Infinity,0.7316504,1.4973917,Infinity,2.81,13.76,Infinity,NaN,NaN,Infinity
Infinity,1.5625705,1.223562,-0.83,22.83,Infinity,0.69522816,1.5064566,Infinity,2.84,13.65,Infinity,NaN,NaN,Infinity
Infinity,1.5582398,1.2345071,-0.8,22.8,Infinity,0.64427596,1.5157411,Infinity,2.87,13.51,Infinity,NaN,NaN,Infinity
