r0_1,r2_1,r6_1,x_1,y_1,totalR_1,r0_2,r2_2,r6_2,x_2,y_2,totalR_2,centre_x,centre_y,totalM
0.37260413,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
0.6284641,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
0.9936636,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.3106456,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.4827895,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.5976218,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.6242492,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.5976218,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.5806327,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.5806327,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.6063405,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.6821123,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.7954166,0.6018529,Infinity,1.05,20.79,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.8765532,0.6458756,Infinity,1.06,20.76,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.9377388,0.6697242,Infinity,1.06,20.75,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.9708544,0.6922661,Infinity,1.07,20.73,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.9881129,0.6922661,Infinity,1.07,20.74,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.9881129,0.6994044,Infinity,1.07,20.73,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.0241468,0.7168351,Infinity,1.07,20.72,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.0623772,0.7368014,Infinity,1.07,20.71,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.1243682,0.7559218,Infinity,1.08,20.7,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.1692076,0.78624755,Infinity,1.08,20.68,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.1928053,0.82031983,Infinity,1.09,20.64,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.2172523,0.88013434,Infinity,1.11,20.57,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.2426012,0.90182954,Infinity,1.11,20.55,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.296241,0.9530097,Infinity,1.13,20.49,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.324664,1.0007179,Infinity,1.14,20.42,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.4861004,1.039601,Infinity,1.14,20.44,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.4172819,1.0953913,Infinity,1.17,20.3,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
