r0_1,r2_1,r6_1,x_1,y_1,totalR_1,r0_2,r2_2,r6_2,x_2,y_2,totalR_2,centre_x,centre_y,totalM
0.41916966,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
0.5390924,Infinity,Infinity,3,13,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
0.685147,0.70654315,Infinity,1.56,18.76,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
0.83617496,0.8727304,Infinity,1.66,18.38,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
0.9703115,1.0027602,Infinity,1.7,18.18,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.1202102,1.1096096,Infinity,1.71,18.18,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.4694,1.204756,Infinity,1.56,18.76,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
1.8912644,1.3201058,Infinity,1.45,19.19,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.296241,1.4322064,Infinity,1.4,19.4,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.6023524,1.5253024,Infinity,1.37,19.53,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
2.8999617,1.5943657,Infinity,1.34,19.62,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
3.1733844,1.6503512,Infinity,1.32,19.7,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
3.4440944,1.6846181,Infinity,1.3,19.81,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
3.5524547,1.7091978,0.5667593,-1.86,23.82,5.8284116,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
3.8070421,1.7220657,0.66244835,-1.78,23.73,6.1915565,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
4.1318073,1.7421516,0.71530193,-1.73,23.68,6.589261,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
4.5672274,1.756101,0.7717711,-1.68,23.63,7.0950994,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
4.849434,1.7705289,0.8432963,-1.61,23.55,7.4632587,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
5.196969,1.7854649,0.82916385,-1.64,23.59,7.811598,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
5.640304,1.8169937,0.8206732,-1.67,23.63,8.277971,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
6.234694,1.842238,0.81831396,-1.69,23.66,8.895246,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
7.09435,1.8599086,0.8226614,-1.7,23.67,9.776919,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
7.09435,1.9073993,0.8537764,-1.69,23.67,9.855525,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
8.5109415,1.9384683,0.84961,-1.71,23.69,11.29902,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
11.618233,2.0330474,0.8678168,-1.74,23.73,14.519097,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
Infinity,1.9834095,0.8791502,-1.71,23.71,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
Infinity,2.0330474,0.9264343,-1.7,23.7,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
Infinity,2.0330474,0.9450501,-1.68,23.68,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
Infinity,2.059911,0.951619,-1.68,23.68,Infinity,Infinity,Infinity,Infinity,0,0,Infinity,NaN,NaN,Infinity
