Significant Readings,Manuscripts
accasum,B
augendo,"A, B, C, Ch, G, Li, Lo, Pa1, Pv, R, S, Sm, U1, U2, V1, V2, V3, V4, W"
co[n]tinatur,G
co[n]tinet[or],"A, B, Mo2"
completely rearranged,Mo2
continetur,"C, Li, Lo, Ma, Mo1, N, O2, O3, P, Pa1, Pa2, Pv, S, Sm, U1, V1, V2, V3, V4"
contineturo,W
cum 1,"B, C, Ch, G, Lo, Ma, N, O1, O2, O3, P, Pa1, Pa2, R, S, Sm, U1, U2, V1, V2"
cum 2,"C, G, Lo, Ma, Mo1, N, O2, O3, P, Pa1, Pa2, Sm, U1, V1, V2, V3"
dextera et fide,U2
dextra fide,O1
"et dextera, et fide","Basel, R"
et dextra et fide,Ch
et fide et dexter,Li
et fide et dextera,"A, G, Lo, Mo1, Mo2, O2, Pv, S, Sm, U1, V1, V2, V3, V4, W"
et fide et dextra,"B, C, Ma, N, Nd, O3, P, Pa1, Pa2"
exordium,"Basel, A, B, C, Ch, G, Li, Lo, Mo1, O1, O2, Pv, R, S, Sm, U1, U2, V1, V2, V3, V4, W"
genitum,U1
gentihum,"Ma, N, O3, Pa1, Pa2"
gub[er]nendo,Ma
gubernando,"N, O3, Pa2"
"insert ""a incolentes dardanidi dicti""",Mo1
"liminae, a crossed out",O3
limine,"Basel, Ch, G, Li, Lo, Ma, N, O1, P, Pa1, Pa2, Pv, R, S, U1, U2, V4, W"
limite,"B, C, Mo1, O2, Sm, V1, V2, V3"
limne,A
maxeimorum,A
maximarum,"Mo1, P, Pa1, Pa2, Pv, S, U1h2, V3, V4, W"
maximatum,"Basel, O3"
maximo,C
maximo[rum],"B, Ch, G, Li, Lo, Ma, N, O1, O2, R, Sm, U1h1, U2, V1, V2"
mihi,"Basel, A, Ch, G, Li, Lo, Ma, Mo1, N, O1, O3, P, Pa1, Pa2, Pv, R, S, U1, U2, V3, V4, W"
ocadius,N
ocadum,Ma
occasam,O3
occasu,"Basel, C, O2, Pv, R, S, Sm, U1, U2, V1, V2, V3, V4, W"
occasum 1,"A, B, N, P, Pa1, Pa2"
occasum 2,"Basel, A, C, Ch, G, Li, Lo, Mo1, O1, O2, Pv, R, S, Sm, U1, U2, V1, V2, V3, V4, W"
occiduio,O3
occiduo,"Pa1, Pa2"
octidno,P
"omit ""et incolentes...dicti"" sub ""dicta est""",Ma
"omit ""et incolentes...dicti"" sub ""dicta""","N, O3, P, Pa1, Pa2"
"omit ""unde gens... hoc regnante""","U1, W"
omitted 1,"B, C, O2, Sm, V1, V2"
omitted 2,"Ch, O1, R, U2"
omitted 3,"Basel, Ch, O1, R, U2"
originem,"Ma, N, O3, P, Pa1, Pa2"
"post ""atlantis filia"" natum","Ma, N, O3, P, Pa1, Pa2"
"post ""comitasque"" add in destria",O3
"post ""comitasque"" add industria","P, Pa1, Pa2"
"post ""dicti"" sunt (incolentes version)","Pv, R, S, V4"
"post ""producta"" ad","Basel, A, Ch, G, Li, Lo, Mo1, O1, O2, Pv, R, S, Sm, U1, U2, V1, V2, V3, V4, W"
"post ""producta"" in","B, C, Ma, N, O3, P, Pa1, Pa2"
"post ""spectamus"" omit orbis terrarum","Ma, N, O3, P, Pa1, Pa2"
quam,Pv
quem,Pv
quom 1,"A, Mo1, V3, V4, W"
quom 2,"A, Li, S, W"
quum 1,"Basel, Li"
quum 2,"Basel, B, V4"
regimina,"A, B, C, Ch, Li, Mo1, O2, O3, Pa1, Pa2, R, S, Sm, U1, U2, V1, V2, V3, V4, W"
regimine,O1
regimini,"Basel, G, Ma, N"
regiminia,"Lo, P"
regnendo,P
ueteorum,Mo1
ueteru[m],"Basel, A, B, C, Ch, G, Li, Lo, O1, O2, Pv, R, S, Sm, U1, U2, V1, V2, V3, V4, W"
