Significant Readings,Manuscripts
augendo,"A, B, C, Ch, G, Li, Lo, Pa1, Pv, R, S, Sm, U1, U2, V1, V2, V3, V4, W"
regimina,"A, B, C, Ch, Li, Mo1, O2, O3, Pa1, Pa2, R, S, Sm, U1, U2, V1, V2, V3, V4, W"
co[n]tinet[or],"A, B, Mo2"
occasum 1,"A, B, N, P, Pa1, Pa2"
et fide et dextera,"A, G, Lo, Mo1, Mo2, O2, Pv, S, Sm, U1, V1, V2, V3, V4, W"
quom 2,"A, Li, S, W"
quom 1,"A, Mo1, V3, V4, W"
cum 1,"B, C, Ch, G, Lo, Ma, N, O1, O2, O3, P, Pa1, Pa2, R, S, Sm, U1, U2, V1, V2"
et fide et dextra,"B, C, Ma, N, Nd, O3, P, Pa1, Pa2"
"post producta in","B, C, Ma, N, O3, P, Pa1, Pa2"
limite,"B, C, Mo1, O2, Sm, V1, V2, V3"
omitted 1,"B, C, O2, Sm, V1, V2"
maximo[rum],"B, Ch, G, Li, Lo, Ma, N, O1, O2, R, Sm, U1h1, U2, V1, V2"
exordium,"Basel, A, B, C, Ch, G, Li, Lo, Mo1, O1, O2, Pv, R, S, Sm, U1, U2, V1, V2, V3, V4, W"
ueteru[m],"Basel, A, B, C, Ch, G, Li, Lo, O1, O2, Pv, R, S, Sm, U1, U2, V1, V2, V3, V4, W"
occasum 2,"Basel, A, C, Ch, G, Li, Lo, Mo1, O1, O2, Pv, R, S, Sm, U1, U2, V1, V2, V3, V4, W"
mihi,"Basel, A, Ch, G, Li, Lo, Ma, Mo1, N, O1, O3, P, Pa1, Pa2, Pv, R, S, U1, U2, V3, V4, W"
"post producta ad","Basel, A, Ch, G, Li, Lo, Mo1, O1, O2, Pv, R, S, Sm, U1, U2, V1, V2, V3, V4, W"
quum 2,"Basel, B, V4"
occasu,"Basel, C, O2, Pv, R, S, Sm, U1, U2, V1, V2, V3, V4, W"
limine,"Basel, Ch, G, Li, Lo, Ma, N, O1, P, Pa1, Pa2, Pv, R, S, U1, U2, V4, W"
omitted 3,"Basel, Ch, O1, R, U2"
regimini,"Basel, G, Ma, N"
quum 1,"Basel, Li"
maximatum,"Basel, O3"
"et dextera, et fide","Basel, R"
cum 2,"C, G, Lo, Ma, Mo1, N, O2, O3, P, Pa1, Pa2, Sm, U1, V1, V2, V3"
continetur,"C, Li, Lo, Ma, Mo1, N, O2, O3, P, Pa1, Pa2, Pv, S, Sm, U1, V1, V2, V3, V4"
omitted 2,"Ch, O1, R, U2"
originem,"Ma, N, O3, P, Pa1, Pa2"
"post atlantis filia natum","Ma, N, O3, P, Pa1, Pa2"
"post spectamus omit orbis terrarum","Ma, N, O3, P, Pa1, Pa2"
gentihum,"Ma, N, O3, Pa1, Pa2"
maximarum,"Mo1, P, Pa1, Pa2, Pv, S, U1h2, V3, V4, W"
"omit et incolentes...dicti sub dicta","N, O3, P, Pa1, Pa2"
gubernando,"N, O3, Pa2"
"post comitasque add industria","P, Pa1, Pa2"
occiduo,"Pa1, Pa2"
"post dicti sunt (incolentes version)","Pv, R, S, V4"
"omit unde gens... hoc regnante","U1, W"
