Group,Common Words,Count of Shared Words
"Basel, A, B, C, Ch, G, Li, Lo, Mo1, O1, O2, Pv, R, S, Sm, U1, U2, V1, V2, V3, V4, W",exordium,1
"Basel, A, Ch, G, Li, Lo, Ma, Mo1, N, O1, O3, P, Pa1, Pa2, Pv, R, S, U1, U2, V3, V4, W",mihi,1
"A, B, C, Ch, Li, Mo1, O2, O3, Pa1, Pa2, R, S, Sm, U1, U2, V1, V2, V3, V4, W",regimina,1
"B, C, Ch, G, Lo, Ma, N, O1, O2, O3, P, Pa1, Pa2, R, S, Sm, U1, U2, V1, V2",cum 1,1
"A, B, C, Ch, G, Li, Lo, Pa1, Pv, R, S, Sm, U1, U2, V1, V2, V3, V4, W",augendo,1
"C, Li, Lo, Ma, Mo1, N, O2, O3, P, Pa1, Pa2, Pv, S, Sm, U1, V1, V2, V3, V4",continetur,1
"C, G, Lo, Ma, Mo1, N, O2, O3, P, Pa1, Pa2, Sm, U1, V1, V2, V3",cum 2,1
"A, G, Lo, Mo1, Mo2, O2, Pv, S, Sm, U1, V1, V2, V3, V4, W",et fide et dextera,1
"B, Ch, G, Li, Lo, Ma, N, O1, O2, R, Sm, U1h1, U2, V1, V2",maximo[rum],1
"Mo1, P, Pa1, Pa2, Pv, S, U1h2, V3, V4, W",maximarum,1
"B, C, Ma, N, Nd, O3, P, Pa1, Pa2",et fide et dextra,1
"A, B, N, P, Pa1, Pa2",occasum 1,1
"A, B, Mo2",co[n]tinet[or],1
"Basel, A, B, C, Ch, G, Li, Lo, O1, O2, Pv, R, S, Sm, U1, U2, V1, V2, V3, V4, W","ueteru[m], exordium",2
"Basel, A, C, Ch, G, Li, Lo, Mo1, O1, O2, Pv, R, S, Sm, U1, U2, V1, V2, V3, V4, W","exordium, occasum 2",2
"Basel, Ch, G, Li, Lo, Ma, N, O1, P, Pa1, Pa2, Pv, R, S, U1, U2, V4, W","mihi, limine",2
"A, B, C, Ch, Li, Mo1, O2, R, S, Sm, U1, U2, V1, V2, V3, V4, W","exordium, regimina",2
"A, B, C, Ch, Li, Pa1, R, S, Sm, U1, U2, V1, V2, V3, V4, W","regimina, augendo",2
"C, Lo, Ma, Mo1, N, O2, O3, P, Pa1, Pa2, Sm, U1, V1, V2, V3","continetur, cum 2",2
"A, Ch, G, Li, Lo, Pa1, Pv, R, S, U1, U2, V3, V4, W","mihi, augendo",2
"A, Ch, Li, Mo1, O3, Pa1, Pa2, R, S, U1, U2, V3, V4, W","mihi, regimina",2
"B, C, Ch, O2, O3, Pa1, Pa2, R, S, Sm, U1, U2, V1, V2","cum 1, regimina",2
"C, Li, Mo1, O2, O3, Pa1, Pa2, S, Sm, U1, V1, V2, V3, V4","continetur, regimina",2
"C, G, Lo, Ma, N, O2, O3, P, Pa1, Pa2, Sm, U1, V1, V2","cum 2, cum 1",2
"C, Lo, Ma, N, O2, O3, P, Pa1, Pa2, S, Sm, U1, V1, V2","continetur, cum 1",2
"Ch, G, Lo, Ma, N, O1, O3, P, Pa1, Pa2, R, S, U1, U2","mihi, cum 1",2
"Li, Lo, Ma, Mo1, N, O3, P, Pa1, Pa2, Pv, S, U1, V3, V4","mihi, continetur",2
"B, C, Ch, G, Lo, Pa1, R, S, Sm, U1, U2, V1, V2","cum 1, augendo",2
"B, Ch, G, Lo, Ma, N, O1, O2, R, Sm, U2, V1, V2","maximo[rum], cum 1",2
"C, Li, Lo, Pa1, Pv, S, Sm, U1, V1, V2, V3, V4","continetur, augendo",2
"G, Lo, Ma, Mo1, N, O3, P, Pa1, Pa2, U1, V3","mihi, cum 2",2
"C, G, Lo, Pa1, Sm, U1, V1, V2, V3","cum 2, augendo",2
"Mo1, P, Pa1, Pa2, Pv, S, V3, V4, W","mihi, maximarum",2
"Li, Lo, Ma, N, O2, Sm, V1, V2","continetur, maximo[rum]",2
"A, N, P, Pa1, Pa2","mihi, occasum 1",2
"A, B, Pa1, Pa2","regimina, occasum 1",2
"A, Mo2","et fide et dextera, co[n]tinet[or]",2
"Basel, O3","mihi, maximatum",2
