Business,Country,COVb2a,COVb2b,COVb2c
1,Italy,3,NA,30
2,Italy,2,NA,NA
3,Italy,3,NA,50
4,Italy,3,NA,25
5,Italy,3,NA,70
6,Italy,3,NA,50
7,Italy,3,NA,100
8,Italy,NA,NA,NA
9,Italy,3,NA,50
10,Italy,3,NA,60
11,Italy,NA,NA,NA
12,Italy,NA,NA,NA
13,Italy,3,NA,70
14,Italy,2,NA,NA
15,Italy,3,NA,50
16,Italy,3,NA,35
17,Italy,3,NA,20
18,Italy,3,NA,50
19,Italy,3,NA,100
20,Italy,NA,NA,NA
21,Italy,3,NA,40
22,Italy,3,NA,80
23,Italy,NA,NA,NA
24,Italy,2,NA,NA
25,Italy,NA,NA,NA
26,Italy,NA,NA,NA
27,Italy,NA,NA,NA
28,Italy,3,NA,50
29,Italy,NA,NA,NA
30,Italy,3,NA,95
31,Italy,NA,NA,NA
32,Italy,1,25,NA
33,Italy,3,NA,90
34,Italy,3,NA,40
35,Italy,NA,NA,NA
36,Italy,3,NA,40
37,Italy,3,NA,90
38,Italy,2,NA,NA
39,Italy,NA,NA,NA
40,Italy,NA,NA,NA
41,Italy,NA,NA,NA
42,Italy,NA,NA,NA
43,Italy,3,NA,35
44,Italy,3,NA,50
45,Italy,NA,NA,NA
46,Italy,3,NA,20
47,Italy,NA,NA,NA
48,Italy,3,NA,20
49,Italy,3,NA,100
50,Italy,3,NA,50
51,Italy,2,NA,NA
52,Italy,3,NA,50
53,Italy,3,NA,10
54,Italy,3,NA,95
55,Italy,NA,NA,NA
56,Italy,3,NA,50
57,Italy,3,NA,60
58,Italy,NA,NA,NA
59,Italy,3,NA,25
60,Italy,3,NA,30
61,Italy,3,NA,30
62,Italy,NA,NA,NA
63,Italy,3,NA,50
64,Italy,NA,NA,NA
65,Italy,NA,NA,NA
66,Italy,NA,NA,NA
67,Italy,NA,NA,NA
68,Italy,2,NA,NA
69,Italy,NA,NA,NA
70,Italy,NA,NA,NA
71,Italy,3,NA,50
72,Italy,3,NA,100
73,Italy,2,NA,NA
74,Italy,NA,NA,NA
75,Italy,NA,NA,NA
76,Italy,NA,NA,NA
77,Italy,NA,NA,NA
78,Italy,NA,NA,NA
79,Italy,NA,NA,NA
80,Italy,3,NA,20
81,Italy,3,NA,30
82,Italy,NA,NA,NA
83,Italy,3,NA,50
84,Italy,3,NA,70
85,Italy,3,NA,60
86,Italy,NA,NA,NA
87,Italy,3,NA,30
88,Italy,3,NA,50
89,Italy,3,NA,40
90,Italy,NA,NA,NA
91,Italy,NA,NA,NA
92,Italy,NA,NA,NA
93,Italy,NA,NA,NA
94,Italy,3,NA,30
95,Italy,3,NA,90
96,Italy,NA,NA,NA
97,Italy,3,NA,90
98,Italy,3,NA,20
99,Italy,NA,NA,NA
100,Italy,3,NA,50
101,Italy,3,NA,70
102,Italy,2,NA,NA
103,Italy,2,NA,NA
104,Italy,3,NA,60
105,Italy,NA,NA,NA
106,Italy,NA,NA,NA
107,Italy,NA,NA,NA
108,Italy,NA,NA,NA
109,Italy,3,NA,90
110,Italy,3,NA,100
111,Italy,3,NA,100
112,Italy,NA,NA,NA
113,Italy,3,NA,30
114,Italy,NA,NA,NA
115,Italy,3,NA,20
116,Italy,2,NA,NA
117,Italy,3,NA,50
118,Italy,3,NA,80
119,Italy,NA,NA,NA
120,Italy,3,NA,30
121,Italy,3,NA,50
122,Italy,NA,NA,NA
123,Italy,2,NA,NA
124,Italy,NA,NA,NA
125,Italy,NA,NA,NA
126,Italy,3,NA,42
127,Italy,3,NA,90
128,Italy,NA,NA,NA
129,Italy,NA,NA,NA
130,Italy,NA,NA,NA
131,Italy,3,NA,40
132,Italy,NA,NA,NA
133,Italy,2,NA,NA
134,Italy,2,NA,NA
135,Italy,3,NA,50
136,Italy,3,NA,70
137,Italy,3,NA,20
138,Italy,NA,NA,NA
139,Italy,2,NA,NA
140,Italy,3,NA,40
141,Italy,NA,NA,NA
