Rank,Date,Tm,,Opp,,,Scorer,Age,Assist1,Assist2,Goalie,Per.,Time,Strength,Other,Arena Name
1,1999-03-29,NYR,,NYI,W,,Wayne Gretzky,38,,,Wade Flaherty,3,17:53,EV,,Madison Square Garden (IV)
2,1999-02-04,NYR,,VAN,W,,Wayne Gretzky,38,Petr Nedved,Niklas Sundstrom,Garth Snow,2,16:21,EV,,Madison Square Garden (IV)
3,1999-01-10,NYR,,TBL,W,,Wayne Gretzky,37,Brian Leetch,Todd Harvey,Bill Ranford,3,14:21,PP,,Madison Square Garden (IV)
4,1998-12-16,NYR,@,NJD,L,,Wayne Gretzky,37,Niklas Sundstrom,,Martin Brodeur,3,13:35,EV,,Continental Airlines Arena
5,1998-12-02,NYR,@,NYI,W,,Wayne Gretzky,37,Kevin Stevens,,Tommy Salo,3,4:10,EV,,Nassau Veterans Memorial Coliseum
6,1998-12-01,NYR,,FLA,W,OT,Wayne Gretzky,37,Petr Nedved,Kevin Stevens,Sean Burke,2,4:02,PP,,Madison Square Garden (IV)
7,1998-11-29,NYR,,NSH,W,,Wayne Gretzky,37,Kevin Stevens,John MacLean,Mike Dunham,1,9:15,EV,,Madison Square Garden (IV)
8,1998-11-07,NYR,@,TOR,T,OT,Wayne Gretzky,37,Marc Savard,Mathieu Schneider,Curtis Joseph,3,19:22,EV,,Maple Leaf Gardens
9,1998-10-17,NYR,@,PIT,T,OT,Wayne Gretzky,37,Todd Harvey,Brian Leetch,Peter Skudra,2,4:50,PP,,Pittsburgh Civic Arena
10,1998-04-15,NYR,,NYI,W,,Wayne Gretzky,37,Alex Kovalev,Adam Graves,,3,19:13,EV,EN,Madison Square Garden (IV)
11,1998-04-07,NYR,,MTL,L,,Wayne Gretzky,37,Niklas Sundstrom,,Jocelyn Thibault,2,7:34,PP,,Madison Square Garden (IV)
12,1998-04-01,NYR,,BOS,L,,Wayne Gretzky,37,Niklas Sundstrom,Alex Kovalev,Byron Dafoe,3,0:39,EV,,Madison Square Garden (IV)
13,1998-03-22,NYR,@,PHI,L,OT,Wayne Gretzky,37,Alex Kovalev,,Sean Burke,2,19:09,EV,,CoreStates Center
14,1998-03-22,NYR,@,PHI,L,OT,Wayne Gretzky,37,Brian Leetch,Bruce Driver,Sean Burke,3,18:18,EV,,CoreStates Center
15,1998-03-11,NYR,,SJS,W,,Wayne Gretzky,37,Alex Kovalev,Pat LaFontaine,Kelly Hrudey,2,8:45,PP,,Madison Square Garden (IV)
16,1998-03-09,NYR,,NJD,T,OT,Wayne Gretzky,37,Kevin Stevens,,Martin Brodeur,3,18:55,EV,,Madison Square Garden (IV)
17,1998-03-07,NYR,@,NJD,L,,Wayne Gretzky,37,Kevin Stevens,,Martin Brodeur,2,15:29,PP,,Continental Airlines Arena
18,1998-03-04,NYR,@,FLA,W,,Wayne Gretzky,37,Brian Leetch,Alex Kovalev,Kevin Weekes,1,19:18,PP,,Miami Arena
19,1998-03-04,NYR,@,FLA,W,,Wayne Gretzky,37,Brian Leetch,Pat LaFontaine,Kevin Weekes,3,6:58,PP,,Miami Arena
20,1998-01-24,NYR,,NJD,T,OT,Wayne Gretzky,36,Pat LaFontaine,Brian Leetch,Martin Brodeur,1,15:31,PP,,Madison Square Garden (IV)
21,1998-01-03,NYR,@,WSH,W,,Wayne Gretzky,36,Bruce Driver,Darren Langdon,Olaf Kolzig,2,4:53,EV,,MCI Center
22,1998-01-03,NYR,@,WSH,W,,Wayne Gretzky,36,Niklas Sundstrom,,Olaf Kolzig,3,19:38,EV,,MCI Center
23,1997-12-28,NYR,,BOS,W,,Wayne Gretzky,36,Alex Kovalev,Johan Lindbom,Byron Dafoe,1,14:42,EV,,Madison Square Garden (IV)
24,1997-12-02,NYR,,WSH,L,OT,Wayne Gretzky,36,Kevin Stevens,Niklas Sundstrom,Olaf Kolzig,2,19:53,EV,,Madison Square Garden (IV)
25,1997-11-28,NYR,@,BUF,T,OT,Wayne Gretzky,36,Niklas Sundstrom,,Dominik Hasek,3,6:14,EV,,Marine Midland Arena
26,1997-11-21,NYR,@,CAR,W,,Wayne Gretzky,36,Jeff Finley,,Sean Burke,2,9:56,EV,,Greensboro Coliseum
27,1997-11-07,NYR,@,DAL,T,OT,Wayne Gretzky,36,Bill Berg,Brian Leetch,Ed Belfour,3,12:52,EV,,Reunion Arena
28,1997-11-05,NYR,@,COL,W,,Wayne Gretzky,36,Mike Eastwood,Bill Berg,,3,19:31,EV,EN,McNichols Sports Arena
29,1997-10-24,NYR,,TBL,W,,Wayne Gretzky,36,Niklas Sundstrom,Kevin Stevens,Corey Schwab,3,9:17,EV,,Madison Square Garden (IV)
30,1997-10-11,NYR,@,VAN,W,,Wayne Gretzky,36,Kevin Stevens,Jeff Beukeboom,Kirk McLean,3,8:00,EV,,General Motors Place
31,1997-10-11,NYR,@,VAN,W,,Wayne Gretzky,36,Niklas Sundstrom,Ulf Samuelsson,Kirk McLean,2,11:34,EV,,General Motors Place
32,1997-10-11,NYR,@,VAN,W,,Wayne Gretzky,36,Kevin Stevens,Ulf Samuelsson,Kirk McLean,2,17:30,EV,,General Motors Place
33,1997-04-04,NYR,@,BUF,L,,Wayne Gretzky,36,Brian Leetch,Niklas Sundstrom,Dominik Hasek,2,0:42,PP,,Marine Midland Arena
34,1997-04-03,NYR,,BOS,W,,Wayne Gretzky,36,Jeff Beukeboom,Brian Leetch,Jim Carey,1,5:39,EV,,Madison Square Garden (IV)
35,1997-03-24,NYR,,PIT,W,,Wayne Gretzky,36,,,,3,19:09,EV,EN,Madison Square Garden (IV)
36,1997-03-21,NYR,,DET,W,,Wayne Gretzky,36,Esa Tikkanen,,Chris Osgood,3,7:52,EV,,Madison Square Garden (IV)
37,1997-03-19,NYR,,MTL,L,,Wayne Gretzky,36,Niklas Sundstrom,Bill Berg,Jocelyn Thibault,2,16:03,EV,,Madison Square Garden (IV)
38,1997-03-17,NYR,,OTT,L,,Wayne Gretzky,36,Bruce Driver,,Ron Tugnutt,3,15:08,EV,,Madison Square Garden (IV)
39,1997-03-12,NYR,,WSH,W,,Wayne Gretzky,36,Brian Leetch,Mark Messier,Bill Ranford,1,15:59,EV,,Madison Square Garden (IV)
40,1997-03-06,NYR,@,LAK,W,,Wayne Gretzky,36,Chris Ferraro,Bruce Driver,Byron Dafoe,1,4:02,PP,,Great Western Forum
41,1997-02-21,NYR,@,HAR,L,,Wayne Gretzky,36,Doug Lidster,Mike Eastwood,Sean Burke,2,17:54,EV,,Hartford Civic Center
42,1996-12-30,NYR,@,DAL,W,,Wayne Gretzky,35,Alexander Karpovtsev,Brian Noonan,Andy Moog,1,1:26,EV,,Reunion Arena
43,1996-12-30,NYR,@,DAL,W,,Wayne Gretzky,35,Niklas Sundstrom,Luc Robitaille,Andy Moog,3,18:44,EV,,Reunion Arena
44,1996-12-16,NYR,,HAR,W,,Wayne Gretzky,35,Niklas Sundstrom,Jeff Beukeboom,Jean-Sebastien Giguere,3,0:38,EV,,Madison Square Garden (IV)
45,1996-12-07,NYR,@,TOR,W,,Wayne Gretzky,35,Ulf Samuelsson,,Felix Potvin,2,6:49,EV,,Maple Leaf Gardens
46,1996-12-06,NYR,,TOR,W,,Wayne Gretzky,35,Ulf Samuelsson,,Marcel Cousineau,3,16:57,EV,,Madison Square Garden (IV)
47,1996-12-06,NYR,,TOR,W,,Wayne Gretzky,35,Luc Robitaille,Niklas Sundstrom,Marcel Cousineau,1,10:25,EV,,Madison Square Garden (IV)
48,1996-12-01,NYR,,MTL,W,,Wayne Gretzky,35,Pat Flatley,,Jocelyn Thibault,3,11:54,EV,,Madison Square Garden (IV)
49,1996-11-16,NYR,@,PIT,W,,Wayne Gretzky,35,Alexander Karpovtsev,Brian Noonan,Ken Wregget,2,9:18,PP,,Pittsburgh Civic Arena
50,1996-11-11,NYR,,VAN,L,,Wayne Gretzky,35,Alex Kovalev,,Kirk McLean,2,16:59,EV,,Madison Square Garden (IV)
51,1996-11-02,NYR,@,BOS,W,,Wayne Gretzky,35,Luc Robitaille,,Scott Bailey,1,5:57,EV,,FleetCenter
52,1996-10-29,NYR,,FLA,T,OT,Wayne Gretzky,35,Christian Dube,Daniel Goneau,John Vanbiesbrouck,3,15:20,PP,,Madison Square Garden (IV)
53,1996-10-27,NYR,,BUF,W,,Wayne Gretzky,35,Niklas Sundstrom,Alexander Karpovtsev,Andrei Trefilov,2,13:26,EV,,Madison Square Garden (IV)
54,1996-10-25,NYR,@,FLA,L,,Wayne Gretzky,35,Luc Robitaille,Bruce Driver,John Vanbiesbrouck,3,10:10,PP,,Miami Arena
55,1996-10-20,NYR,@,TBL,L,,Wayne Gretzky,35,Niklas Sundstrom,,Corey Schwab,1,13:45,EV,,Ice Palace
