All.interactions,share,like,comment,Impressions.when.page.liked,Impressions,Paid,Post.Hour,Post.Weekday,Post.Month,Category,Type,Page.likes
100,17,79,4,3078,5091,0,3,4,12,Product,Photo,139441
164,29,130,5,11710,19057,0,10,3,12,Product,Status,139441
80,14,66,0,2812,4373,0,3,3,12,Inspiration,Photo,139441
1777,147,1572,58,61027,87991,1,10,2,12,Product,Photo,139441
393,49,325,19,6228,13594,0,3,2,12,Product,Photo,139441
186,33,152,1,16034,20849,0,9,1,12,Product,Status,139441
279,27,249,3,15432,19479,1,3,1,12,Inspiration,Photo,139441
339,14,325,0,19728,24137,1,9,7,12,Inspiration,Photo,139441
192,31,161,0,15220,22538,0,3,7,12,Product,Status,139441
142,26,113,3,4309,8668,0,10,6,12,Inspiration,Photo,139441
252,19,233,0,37849,42334,0,10,5,12,Product,Status,139441
106,18,88,0,3887,5590,0,10,5,12,Product,Photo,139441
104,14,90,0,3779,5133,0,10,5,12,Product,Photo,139441
152,10,137,5,3631,4896,0,3,5,12,Product,Photo,139441
599,20,577,2,34415,39941,1,5,4,12,Product,Photo,138414
108,18,86,4,17272,19680,0,10,3,12,Product,Status,138414
54,12,40,2,1868,2981,0,3,3,12,Inspiration,Photo,138414
713,20,678,15,92512,111785,1,12,2,12,Action,Photo,138414
75,17,54,4,5009,7509,0,3,2,12,Inspiration,Status,138414
42,8,34,0,2116,2825,0,11,1,12,Inspiration,Photo,138414
81,12,66,3,3561,5066,0,3,1,12,Product,Photo,138414
0,0,0,0,2196,2467,0,10,7,12,Action,Photo,138414
18,2,16,0,6282,6853,0,10,7,12,Action,Link,138414
96,24,72,0,2964,4888,0,3,7,12,Inspiration,Photo,138414
121,19,99,3,9684,15294,0,10,6,12,Product,Status,138414
106,18,88,0,10266,15104,0,3,6,12,Product,Status,138458
494,72,412,10,17748,34143,0,11,5,12,Product,Status,138458
117,17,100,0,2612,4306,0,3,5,12,Inspiration,Photo,138458
622,63,523,36,9217,18264,0,3,5,12,Product,Photo,138895
174,13,143,18,30131,61262,1,11,4,12,Action,Video,138895
162,22,107,33,5860,9390,0,2,4,12,Product,Photo,138895
39,11,27,1,1585,2929,0,10,3,12,Product,Photo,138895
204,47,155,2,4480,9578,0,3,3,12,Inspiration,Photo,138895
